University name,City,State,Nursing Degrees,Slug
A.T. Still University,kirksville-mo,missouri,doctor-of-nursing,a-t-still-university
Adelphi University,garden-city-mi,new-york,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,adelphi-university
Abilene Christian University,abilene-tx,texas,bachelor-of-science-nursing; doctor-of-nursing,abilene-christian-university
Adams State University,alamosa-co,colorado,bachelor-of-science-nursing,adams-state-university
Hardin-Simmons University,abilene-tx,texas,bachelor-of-science-nursing; master-of-science-nursing,hardin-simmons-university
"University of Akron, The",akron-oh,ohio,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-akron-the
McMurry University,abilene-tx,texas,bachelor-of-science-nursing; master-of-science-nursing,mcmurry-university
Benedictine College,,kansas,bachelor-of-science-nursing,benedictine-college
Patty Hanks Shelton School of Nursing,abilene-tx,texas,bachelor-of-science-nursing; master-of-science-nursing,patty-hanks-shelton-school-of-nursing
Ohio Northern University,ada-oh,ohio,bachelor-of-science-nursing,ohio-northern-university
University of Maryland Global Campus,adelphi-md,maryland,bachelor-of-science-nursing,university-of-maryland-global-campus
Siena Heights University,adrian-mi,michigan,bachelor-of-science-nursing; master-of-science-nursing,siena-heights-university
University of New Mexico,albuquerque-nm,new-mexico,bachelor-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-new-mexico
University of Mount Union,alliance-oh,ohio,bachelor-of-science-nursing,university-of-mount-union
Cedar Crest College,allentown-pa,pennsylvania,master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,cedar-crest-college
Northwestern Oklahoma State University,alva-ok,oklahoma,bachelor-of-science-nursing; doctor-of-nursing,northwestern-oklahoma-state-university
University of South Carolina Aiken,aiken-sc,south-carolina,bachelor-of-science-nursing,university-of-south-carolina-aiken
New Mexico VA Health Care System,albuquerque-nm,new-mexico,nurse-practitioner-residency,new-mexico-va-health-care-system
"University at Albany, State University of New York",albany-ny,new-york,bachelor-of-science-nursing; master-of-science-nursing,university-at-albany-state-university-of-new-york
Sul Ross State University,alpine-tx,texas,bachelor-of-science-nursing,sul-ross-state-university
Trine University,angola-in,indiana,bachelor-of-science-nursing,trine-university
