name,slug,pay,license
Ajo,caregiver-cg-per-diem-prn-ajo-az,23.04,cg
Amado,caregiver-cg-per-diem-prn-amado-az,23.04,cg
Anthem,caregiver-cg-per-diem-prn-anthem-az,23.04,cg
Apache Junction,caregiver-cg-per-diem-prn-apache-junction-az,23.04,cg
Arivaca,caregiver-cg-per-diem-prn-arivaca-az,23.04,cg
Arizona City,caregiver-cg-per-diem-prn-arizona-city-az,23.04,cg
Ash Fork,caregiver-cg-per-diem-prn-ash-fork-az,23.04,cg
Avondale AZ,caregiver-cg-per-diem-prn-avondale-az,23.04,cg
Bagdad,caregiver-cg-per-diem-prn-bagdad-az,23.04,cg
Benson,caregiver-cg-per-diem-prn-benson-az,23.04,cg
Bisbee,caregiver-cg-per-diem-prn-bisbee-az,23.04,cg
Bouse,caregiver-cg-per-diem-prn-bouse-az,23.04,cg
Buckeye,caregiver-cg-per-diem-prn-buckeye-az,23.04,cg
Bullhead City,caregiver-cg-per-diem-prn-bullhead-city-az,23.04,cg
Camp Verde,caregiver-cg-per-diem-prn-camp-verde-az,23.04,cg
Carefree,caregiver-cg-per-diem-prn-carefree-az,23.04,cg
Casa Grande,caregiver-cg-per-diem-prn-casa-grande-az,23.04,cg
Casas Adobes,caregiver-cg-per-diem-prn-casas-adobes-az,51.11,cg
Catalina Foothills,caregiver-cg-per-diem-prn-catalina-foothills-az,51.78,cg
Chandler,caregiver-cg-per-diem-prn-chandler-az,24.11,cg
Chilchinbito,caregiver-cg-per-diem-prn-chilchinbito-az,23.04,cg
Chinle,caregiver-cg-per-diem-prn-chinle-az,23.04,cg
Clifton AZ,caregiver-cg-per-diem-prn-clifton-az,23.04,cg
Congress,caregiver-cg-per-diem-prn-congress-az,23.04,cg
Coolidge,caregiver-cg-per-diem-prn-coolidge-az,23.04,cg
Cottonwood AZ,caregiver-cg-per-diem-prn-cottonwood-az,23.04,cg
Dewey,caregiver-cg-per-diem-prn-dewey-az,23.04,cg
Douglas,caregiver-cg-per-diem-prn-douglas-az,23.04,cg
Duncan,caregiver-cg-per-diem-prn-duncan-az,23.04,cg
Elfrida,caregiver-cg-per-diem-prn-elfrida-az,23.04,cg
Eloy,caregiver-cg-per-diem-prn-eloy-az,23.04,cg
Flagstaff,caregiver-cg-per-diem-prn-flagstaff-az,23.04,cg
Florence AZ,caregiver-cg-per-diem-prn-florence-az,23.04,cg
Fort Defiance,caregiver-cg-per-diem-prn-fort-defiance-az,23.04,cg
Fort Huachuca,caregiver-cg-per-diem-prn-fort-huachuca-az,23.04,cg
Fort Mohave,caregiver-cg-per-diem-prn-fort-mohave-az,23.04,cg
Fountain Hills,caregiver-cg-per-diem-prn-fountain-hills-az,23.04,cg
Ganado AZ,caregiver-cg-per-diem-prn-ganado-az,23.04,cg
Gila Bend,caregiver-cg-per-diem-prn-gila-bend-az,23.04,cg
Gilber,caregiver-cg-per-diem-prn-gilber-az,23.04,cg
Gilbert,caregiver-cg-per-diem-prn-gilbert-az,23.04,cg
Gilbert Gilbert Medical Center,caregiver-cg-per-diem-prn-gilbert-gilbert-medical-center-az,26.11,cg
Glendale AZ,caregiver-cg-per-diem-prn-glendale-az,25.34,cg
Glendale Rovey Farm Estates,caregiver-cg-per-diem-prn-glendale-rovey-farm-estates-az,25.30,cg
Globe,caregiver-cg-per-diem-prn-globe-az,23.04,cg
Gold Canyon,caregiver-cg-per-diem-prn-gold-canyon-az,23.04,cg
Golden Valley,caregiver-cg-per-diem-prn-golden-valley-az,23.04,cg
Goodyear,caregiver-cg-per-diem-prn-goodyear-az,26.76,cg
Grand Canyon,caregiver-cg-per-diem-prn-grand-canyon-az,23.04,cg
Green Valley,caregiver-cg-per-diem-prn-green-valley-az,23.04,cg
Greenehaven,caregiver-cg-per-diem-prn-greenehaven-az,23.04,cg
Hereford AZ,caregiver-cg-per-diem-prn-hereford-az,23.04,cg
Holbrook,caregiver-cg-per-diem-prn-holbrook-az,23.04,cg
Kayenta,caregiver-cg-per-diem-prn-kayenta-az,23.04,cg
Kearny,caregiver-cg-per-diem-prn-kearny-az,23.04,cg
Kingman,caregiver-cg-per-diem-prn-kingman-az,23.04,cg
Lake Havasu,caregiver-cg-per-diem-prn-lake-havasu-az,23.04,cg
Lake Havasu City,caregiver-cg-per-diem-prn-lake-havasu-city-az,23.04,cg
Lakeside AZ,caregiver-cg-per-diem-prn-lakeside-az,23.04,cg
Laveen,caregiver-cg-per-diem-prn-laveen-az,23.04,cg
Litchfield Park,caregiver-cg-per-diem-prn-litchfield-park-az,23.04,cg
Marana,caregiver-cg-per-diem-prn-marana-az,23.04,cg
Maricopa,caregiver-cg-per-diem-prn-maricopa-az,23.04,cg
Mesa,caregiver-cg-per-diem-prn-mesa-az,22.54,cg
Mesa Villa Royale III,caregiver-cg-per-diem-prn-mesa-villa-royale-iii-az,25.22,cg
Nogales,caregiver-cg-per-diem-prn-nogales-az,23.04,cg
Oracle,caregiver-cg-per-diem-prn-oracle-az,23.04,cg
Oro Valley,caregiver-cg-per-diem-prn-oro-valley-az,23.04,cg
Overgaard,caregiver-cg-per-diem-prn-overgaard-az,23.04,cg
Page,caregiver-cg-per-diem-prn-page-az,23.04,cg
Parker AZ,caregiver-cg-per-diem-prn-parker-az,23.04,cg
Patagonia,caregiver-cg-per-diem-prn-patagonia-az,23.04,cg
Payson AZ,caregiver-cg-per-diem-prn-payson-az,23.04,cg
Pearce,caregiver-cg-per-diem-prn-pearce-az,23.04,cg
Peoria AZ,caregiver-cg-per-diem-prn-peoria-az,23.04,cg
Peridot,caregiver-cg-per-diem-prn-peridot-az,23.04,cg
Phoenix,phoenix-arizona,25.03,cg
Phoenix Camelback East Village,caregiver-cg-per-diem-prn-phoenix-camelback-east-village-az,51.83,cg
Phoenix Deer Valley,caregiver-cg-per-diem-prn-phoenix-deer-valley-az,25.43,cg
Phoenix Denali Financial Center,caregiver-cg-per-diem-prn-phoenix-denali-financial-center-az,25.48,cg
Phoenix Estrella Village,caregiver-cg-per-diem-prn-phoenix-estrella-village-az,25.50,cg
Phoenix Midtown,caregiver-cg-per-diem-prn-phoenix-midtown-az,25.38,cg
Phoenix North Mountain Village,caregiver-cg-per-diem-prn-phoenix-north-mountain-village-az,51.97,cg
Phoenix Paradise Valley Village,caregiver-cg-per-diem-prn-phoenix-paradise-valley-village-az,25.61,cg
Polacca,caregiver-cg-per-diem-prn-polacca-az,23.04,cg
Prescott,caregiver-cg-per-diem-prn-prescott-az,23.04,cg
Prescott Valley,caregiver-cg-per-diem-prn-prescott-valley-az,23.04,cg
Queen Creek,caregiver-cg-per-diem-prn-queen-creek-az,23.04,cg
Rio Rico,caregiver-cg-per-diem-prn-rio-rico-az,23.04,cg
Rock Point,caregiver-cg-per-diem-prn-rock-point-az,23.04,cg
Sacaton,caregiver-cg-per-diem-prn-sacaton-az,23.04,cg
Safford,caregiver-cg-per-diem-prn-safford-az,23.04,cg
Sahuarita,caregiver-cg-per-diem-prn-sahuarita-az,23.04,cg
Saint Johns,caregiver-cg-per-diem-prn-saint-johns-az,23.04,cg
Salome,caregiver-cg-per-diem-prn-salome-az,23.04,cg
San Luis,caregiver-cg-per-diem-prn-san-luis-az,23.04,cg
San Manuel,caregiver-cg-per-diem-prn-san-manuel-az,23.04,cg
San Tan Valley,caregiver-cg-per-diem-prn-san-tan-valley-az,23.04,cg
Scottsdale,caregiver-cg-per-diem-prn-scottsdale-az,23.04,cg
Scottsdale Central Scottsdale,caregiver-cg-per-diem-prn-scottsdale-central-scottsdale-az,51.95,cg
Scottsdale Heatherwood,caregiver-cg-per-diem-prn-scottsdale-heatherwood-az,25.25,cg
Scottsdale North Scottsdale,caregiver-cg-per-diem-prn-scottsdale-north-scottsdale-az,51.97,cg
Scottsdale The Center At McDowell Mountain,caregiver-cg-per-diem-prn-scottsdale-the-center-at-mcdowell-mountain-az,51.97,cg
Scottsdale The Park At Flw,caregiver-cg-per-diem-prn-scottsdale-the-park-at-flw-az,25.68,cg
Sedona,caregiver-cg-per-diem-prn-sedona-az,23.04,cg
Seligman,caregiver-cg-per-diem-prn-seligman-az,23.04,cg
Sells,caregiver-cg-per-diem-prn-sells-az,23.04,cg
Show Low,caregiver-cg-per-diem-prn-show-low-az,23.04,cg
Sierra Vista,caregiver-cg-per-diem-prn-sierra-vista-az,23.04,cg
Somerton,caregiver-cg-per-diem-prn-somerton-az,23.04,cg
Springerville,caregiver-cg-per-diem-prn-springerville-az,23.04,cg
Sun City,caregiver-cg-per-diem-prn-sun-city-az,23.04,cg
Sun City West,caregiver-cg-per-diem-prn-sun-city-west-az,23.04,cg
Sun Lakes,caregiver-cg-per-diem-prn-sun-lakes-az,23.04,cg
Sun West City,caregiver-cg-per-diem-prn-sun-west-city-az,23.04,cg
Superior AZ,caregiver-cg-per-diem-prn-superior-az,23.04,cg
Surprise,caregiver-cg-per-diem-prn-surprise-az,23.04,cg
Surprise Bell And Dysart Commerce Center,caregiver-cg-per-diem-prn-surprise-bell-and-dysart-commerce-center-az,25.78,cg
Tempe AZ,caregiver-cg-per-diem-prn-tempe-az,23.04,cg
Tempe Kiwanis Park,caregiver-cg-per-diem-prn-tempe-kiwanis-park-az,25.75,cg
Tolleson,caregiver-cg-per-diem-prn-tolleson-az,23.04,cg
Tuba City,caregiver-cg-per-diem-prn-tuba-city-az,23.04,cg
Tubac,caregiver-cg-per-diem-prn-tubac-az,23.04,cg
Tucson,caregiver-cg-per-diem-prn-tucson-az,25.87,cg
Tucson Coronado Foothills Estates,caregiver-cg-per-diem-prn-tucson-coronado-foothills-estates-az,51.11,cg
Tucson Ventana Canyon Office Park,caregiver-cg-per-diem-prn-tucson-ventana-canyon-office-park-az,51.97,cg
Vail AZ,caregiver-cg-per-diem-prn-vail-az,23.04,cg
Wellton,caregiver-cg-per-diem-prn-wellton-az,23.04,cg
Whiteriver,caregiver-cg-per-diem-prn-whiteriver-az,23.04,cg
Wickenburg,caregiver-cg-per-diem-prn-wickenburg-az,26.39,cg
Willcox,caregiver-cg-per-diem-prn-willcox-az,26.39,cg
Williams,caregiver-cg-per-diem-prn-williams-az,26.39,cg
Winslow,caregiver-cg-per-diem-prn-winslow-az,26.38,cg
Wittmann,caregiver-cg-per-diem-prn-wittmann-az,26.39,cg
Youngtown,caregiver-cg-per-diem-prn-youngtown-az,26.39,cg
Yuma AZ,caregiver-cg-per-diem-prn-yuma-az,26.39,cg
