name,slug,pay,license
700 Smith St,certified-medication-aide-per-diem-prn-700-smith-st-ri,25.25,cma
Aberdeen ID,certified-medication-aide-per-diem-prn-aberdeen-id,26.18,cma
Aberdeen SD,certified-medication-aide-per-diem-prn-aberdeen-sd,25.50,cma
Aberdeen WA,certified-medication-aide-per-diem-prn-aberdeen-wa,25.75,cma
Abernathy,certified-medication-aide-per-diem-prn-abernathy-tx,25.20,cma
Abilene,certified-medication-aide-per-diem-prn-abilene-tx,26.10,cma
Abingdon,certified-medication-aide-per-diem-prn-abingdon-va,25.35,cma
Abington,certified-medication-aide-per-diem-prn-abington-pa,25.32,cma
Absecon,certified-medication-aide-per-diem-prn-absecon-nj,26.10,cma
Addison,certified-medication-aide-per-diem-prn-addison-tx,25.40,cma
Affton,certified-medication-aide-per-diem-prn-affton-mo,25.61,cma
Aiken,certified-medication-aide-per-diem-prn-aiken-sc,25.66,cma
Ajo,certified-medication-aide-per-diem-prn-ajo-az,25.85,cma
Akron,certified-medication-aide-per-diem-prn-akron-co,26.00,cma
Akron,certified-medication-aide-per-diem-prn-akron-oh,25.30,cma
Alabaster,certified-medication-aide-per-diem-prn-alabaster-al,25.20,cma
Alachua,certified-medication-aide-per-diem-prn-alachua-fl,25.45,cma
Alafaya,certified-medication-aide-per-diem-prn-alafaya-fl,25.65,cma
Alamo,certified-medication-aide-per-diem-prn-alamo-tx,25.57,cma
Alamogordo,certified-medication-aide-per-diem-prn-alamogordo-nm,25.25,cma
Alamosa,certified-medication-aide-per-diem-prn-alamosa-co,25.68,cma
Albany,certified-medication-aide-per-diem-prn-albany-ny,25.61,cma
Albany GA,certified-medication-aide-per-diem-prn-albany-ga,26.00,cma
Albany OR,certified-medication-aide-per-diem-prn-albany-or,25.22,cma
Albany TX,certified-medication-aide-per-diem-prn-albany-tx,25.67,cma
Albertville,certified-medication-aide-per-diem-prn-albertville-al,25.45,cma
Albia,certified-medication-aide-per-diem-prn-albia-ia,25.48,cma
Albion,certified-medication-aide-per-diem-prn-albion-mi,25.53,cma
Albuquerque,certified-medication-aide-per-diem-prn-albuquerque-nm,25.77,cma
Aledo IL,certified-medication-aide-per-diem-prn-aledo-il,25.93,cma
Aledo TX,certified-medication-aide-per-diem-prn-aledo-tx,25.38,cma
Alexander City,certified-medication-aide-per-diem-prn-alexander-city-al,26.13,cma
Alexandria LA,certified-medication-aide-per-diem-prn-alexandria-la,25.87,cma
Alexandria VA,certified-medication-aide-per-diem-prn-alexandria-va,25.96,cma
Alhambra,certified-medication-aide-per-diem-prn-alhambra-ca,25.41,cma
Alice,certified-medication-aide-per-diem-prn-alice-tx,25.47,cma
Allen,certified-medication-aide-per-diem-prn-allen-tx,25.32,cma
Allentown,certified-medication-aide-per-diem-prn-allentown-pa,25.32,cma
Alliance,certified-medication-aide-per-diem-prn-alliance-ne,25.61,cma
Alliance,certified-medication-aide-per-diem-prn-alliance-oh,25.03,cma
Alma,certified-medication-aide-per-diem-prn-alma-mi,26.11,cma
Aloha,certified-medication-aide-per-diem-prn-aloha-or,25.61,cma
Alpena,certified-medication-aide-per-diem-prn-alpena-mi,25.43,cma
Alpharetta,certified-medication-aide-per-diem-prn-alpharetta-ga,25.45,cma
Alpine,certified-medication-aide-per-diem-prn-alpine-tx,25.64,cma
Alpine,certified-medication-aide-per-diem-prn-alpine-ut,25.78,cma
Alsea,certified-medication-aide-per-diem-prn-alsea-or,25.37,cma
Altamonte Springs,certified-medication-aide-per-diem-prn-altamonte-springs-fl,25.25,cma
Alto,certified-medication-aide-per-diem-prn-alto-tx,26.18,cma
Alton,certified-medication-aide-per-diem-prn-alton-tx,25.50,cma
Altoona,certified-medication-aide-per-diem-prn-altoona-0-wi,25.75,cma
Altoona,certified-medication-aide-per-diem-prn-altoona-fl,25.20,cma
Altoona,certified-medication-aide-per-diem-prn-altoona-pa,25.64,cma
Altoona IA,certified-medication-aide-per-diem-prn-altoona-ia,25.67,cma
Alturas,certified-medication-aide-per-diem-prn-alturas-ca,26.10,cma
Alvarado,certified-medication-aide-per-diem-prn-alvarado-tx,25.35,cma
Alvin,certified-medication-aide-per-diem-prn-alvin-tx,25.40,cma
Alvord,certified-medication-aide-per-diem-prn-alvord-tx,25.66,cma
Amado,certified-medication-aide-per-diem-prn-amado-az,25.85,cma
Amargosa Valley,certified-medication-aide-per-diem-prn-amargosa-valley-nv,26.00,cma
Amarillo,certified-medication-aide-per-diem-prn-amarillo-tx,25.30,cma
American Falls,certified-medication-aide-per-diem-prn-american-falls-id,25.45,cma
American Fork,certified-medication-aide-per-diem-prn-american-fork-ut,25.57,cma
Ames,certified-medication-aide-per-diem-prn-ames-ia,25.68,cma
Amherst,certified-medication-aide-per-diem-prn-amherst-8-va,25.22,cma
Amherst,certified-medication-aide-per-diem-prn-amherst-ny,25.03,cma
Amherst,certified-medication-aide-per-diem-prn-amherst-tx,25.67,cma
Ammon ID,certified-medication-aide-per-diem-prn-ammon-id,25.48,cma
Amsterdam,certified-medication-aide-per-diem-prn-amsterdam-ny,25.53,cma
Anaconda,certified-medication-aide-per-diem-prn-anaconda-mt,25.77,cma
Anacortes,certified-medication-aide-per-diem-prn-anacortes-wa,25.93,cma
Anaheim,certified-medication-aide-per-diem-prn-anaheim-ca,25.38,cma
Anahuac,certified-medication-aide-per-diem-prn-anahuac-tx,26.13,cma
Anchorage,certified-medication-aide-per-diem-prn-anchorage-ak,25.87,cma
Anderson,certified-medication-aide-per-diem-prn-anderson-in,25.00,cma
Anderson,certified-medication-aide-per-diem-prn-anderson-sc,25.61,cma
Andover,certified-medication-aide-per-diem-prn-andover-mn,26.11,cma
Andrews,certified-medication-aide-per-diem-prn-andrews-tx,25.96,cma
Aneta,certified-medication-aide-per-diem-prn-aneta-nd,25.41,cma
Angelus Oaks,certified-medication-aide-per-diem-prn-angelus-oaks-ca,25.47,cma
Angleton,certified-medication-aide-per-diem-prn-angleton-tx,25.32,cma
Anita,certified-medication-aide-per-diem-prn-anita-ia,25.25,cma
Ankeny,certified-medication-aide-per-diem-prn-ankeny-ia,26.11,cma
Ann Arbor,certified-medication-aide-per-diem-prn-ann-arbor-mi,25.43,cma
Annandale,certified-medication-aide-per-diem-prn-annandale-va,25.61,cma
Annapolis,certified-medication-aide-per-diem-prn-annapolis-md-c4e69,25.61,cma
Annapolis MD,certified-medication-aide-per-diem-prn-annapolis-md,26.11,cma
Anniston,certified-medication-aide-per-diem-prn-anniston-al,25.38,cma
Anson,certified-medication-aide-per-diem-prn-anson-tx,25.43,cma
Anthem,certified-medication-aide-per-diem-prn-anthem-az,25.64,cma
Antigo,certified-medication-aide-per-diem-prn-antigo-wi,25.78,cma
Antonito,certified-medication-aide-per-diem-prn-antonito-co,25.37,cma
Any City,certified-medication-aide-per-diem-prn-any-city-or,25.25,cma
Apache Junction AZ,certified-medication-aide-per-diem-prn-apache-junction-az,26.18,cma
Apalachicola,certified-medication-aide-per-diem-prn-apalachicola-fl,25.50,cma
Apex,certified-medication-aide-per-diem-prn-apex-nc,26.00,cma
Apollo Beach,certified-medication-aide-per-diem-prn-apollo-beach-fl,25.75,cma
Apopka,certified-medication-aide-per-diem-prn-apopka-fl,25.20,cma
Apple Valley,certified-medication-aide-per-diem-prn-apple-valley-mn,25.67,cma
Appleton,certified-medication-aide-per-diem-prn-appleton-wi,25.50,cma
Aransas Pass,certified-medication-aide-per-diem-prn-aransas-pass-tx,26.10,cma
Arcadia,certified-medication-aide-per-diem-prn-arcadia-fl,25.35,cma
Arcata,certified-medication-aide-per-diem-prn-arcata-ca,25.40,cma
Archer,certified-medication-aide-per-diem-prn-archer-fl,25.85,cma
Archer City,certified-medication-aide-per-diem-prn-archer-city-tx,25.66,cma
Arco,certified-medication-aide-per-diem-prn-arco-id,26.00,cma
Ardmore,certified-medication-aide-per-diem-prn-ardmore-ok,25.85,cma
Arivaca,certified-medication-aide-per-diem-prn-arivaca-az,25.30,cma
Arizona City,certified-medication-aide-per-diem-prn-arizona-city-az,25.45,cma
Arlington,certified-medication-aide-per-diem-prn-arlington-ma,25.83,cma
Arlington Heights,certified-medication-aide-per-diem-prn-arlington-heights-il,25.64,cma
Arlington TX,certified-medication-aide-per-diem-prn-arlington-tx,26.18,cma
Arlington VA,certified-medication-aide-per-diem-prn-arlington-va,25.57,cma
Arlington WA,certified-medication-aide-per-diem-prn-arlington-wa,25.68,cma
Arnold,certified-medication-aide-per-diem-prn-arnold-mo,25.43,cma
Artesia,certified-medication-aide-per-diem-prn-artesia-nm,25.22,cma
Arvada,certified-medication-aide-per-diem-prn-arvada-co,25.67,cma
Ash Fork,certified-medication-aide-per-diem-prn-ash-fork-az,25.48,cma
Ashburn,certified-medication-aide-per-diem-prn-ashburn-va,25.53,cma
Asheville Charlotte Street,certified-medication-aide-per-diem-prn-asheville-charlotte-street-nc,25.54,cma
Asheville NC,certified-medication-aide-per-diem-prn-asheville-nc,25.77,cma
Ashland,certified-medication-aide-per-diem-prn-ashland-ky,25.59,cma
Ashland City,certified-medication-aide-per-diem-prn-ashland-city-tn,25.78,cma
Ashland OR,certified-medication-aide-per-diem-prn-ashland-or,25.93,cma
Ashland WI,certified-medication-aide-per-diem-prn-ashland-wi,25.38,cma
Ashley,certified-medication-aide-per-diem-prn-ashley-nd,26.13,cma
Ashley,certified-medication-aide-per-diem-prn-ashley-oh,25.87,cma
Ashton,certified-medication-aide-per-diem-prn-ashton-id,25.96,cma
Aspen CO,certified-medication-aide-per-diem-prn-aspen-co,25.41,cma
Aspen Hill,certified-medication-aide-per-diem-prn-aspen-hill-md,25.38,cma
Aspermont,certified-medication-aide-per-diem-prn-aspermont-tx,25.47,cma
Astoria OR,certified-medication-aide-per-diem-prn-astoria-or,25.32,cma
Athens,certified-medication-aide-per-diem-prn-athens-al,25.48,cma
Athens,certified-medication-aide-per-diem-prn-athens-ga,25.22,cma
Athens,certified-medication-aide-per-diem-prn-athens-oh,25.74,cma
Athens,certified-medication-aide-per-diem-prn-athens-tx,25.61,cma
Atlanta,certified-medication-aide-per-diem-prn-atlanta-tx,26.11,cma
Atlanta Buckhead,certified-medication-aide-per-diem-prn-atlanta-buckhead-ga,25.54,cma
Atlanta GA,certified-medication-aide-per-diem-prn-atlanta-ga,25.68,cma
Atlanta South Downtown,certified-medication-aide-per-diem-prn-atlanta-south-downtown-ga,26.00,cma
Atlantic,certified-medication-aide-per-diem-prn-atlantic-ia,25.64,cma
Atlantic Beach,certified-medication-aide-per-diem-prn-atlantic-beach-fl,25.43,cma
Atlantic City,certified-medication-aide-per-diem-prn-atlantic-city-nj,25.99,cma
