name,slug,pay,license
Aberdeen WA,per-diem-aberdeen-wa,23.77,cna er
Abingdon,per-diem-abingdon-va,24.08,cna er
Affton,per-diem-affton-mo,25.61,cna er
Akron,per-diem-akron-oh,25.56,cna er
Alachua,per-diem-alachua-fl,24.08,cna er
Alafaya,per-diem-alafaya-fl,25.65,cna er
Albany GA,per-diem-albany-ga,26.00,cna er
Albany OR,per-diem-albany-or,23.24,cna er
Albuquerque,per-diem-albuquerque-nm,24.53,cna er
Alexandria LA,per-diem-alexandria-la,24.53,cna er
Alexandria VA,per-diem-alexandria-va,23.77,cna er
Alhambra,per-diem-alhambra-ca,24.53,cna er
Allentown,per-diem-allentown-pa,25.32,cna er
Alpine,per-diem-alpine-ut,23.77,cna er
Alsea,per-diem-alsea-or,23.77,cna er
Alton,per-diem-alton-tx,24.08,cna er
Altoona,per-diem-altoona-pa,25.64,cna er
Altoona IA,per-diem-altoona-ia,25.67,cna er
Alvarado,per-diem-alvarado-tx,23.77,cna er
Alvin,per-diem-alvin-tx,24.08,cna er
Amado,per-diem-amado-az,22.23,cna er
American Fork,per-diem-american-fork-ut,24.08,cna er
Anacortes,per-diem-anacortes-wa,24.53,cna er
Anahuac,per-diem-anahuac-tx,23.77,cna er
Anchorage,per-diem-anchorage-ak,23.55,cna er
Ankeny,per-diem-ankeny-ia,26.11,cna er
Apache Junction,per-diem-apache-junction-az,24.53,cna er
Arlington,per-diem-arlington-tx,24.08,cna er
Arlington VA,per-diem-arlington-va,25.56,cna er
Arlington WA,per-diem-arlington-wa,24.08,cna er
Arnold,per-diem-arnold-mo,25.43,cna er
Arvada,per-diem-arvada-co,23.77,cna er
Asheville NC,per-diem-asheville-nc,23.77,cna er
Ashland City,per-diem-ashland-city-tn,25.61,cna er
Ashland OR,per-diem-ashland-or,24.53,cna er
Astoria OR,per-diem-astoria-or,24.53,cna er
Athens,per-diem-athens-oh,25.74,cna er
Atlanta GA,per-diem-atlanta-ga,25.68,cna er
Atlantic City,per-diem-atlantic-city-nj,25.99,cna er
Attalla,per-diem-attalla-al,24.53,cna er
Atwood,per-diem-atwood-ks,23.77,cna er
Auburn,per-diem-auburn-me,25.61,cna er
Auburn IN,per-diem-auburn-in,24.53,cna er
Auburn NY,per-diem-auburn-ny,24.08,cna er
Augusta,per-diem-augusta-ga,25.30,cna er
Aurora,per-diem-aurora-co,24.53,cna er
Aurora,per-diem-aurora-il,25.67,cna er
Austin TX,per-diem-austin-tx,24.08,cna er
Austintown,per-diem-austintown-oh,25.03,cna er
Avon CT,per-diem-avon-ct,25.56,cna er
Avon Lake,per-diem-avon-lake-oh,25.95,cna er
Bailey,per-diem-bailey-co,23.77,cna er
BAINBRIDGE ISLAND,per-diem-bainbridge-island-wa,23.77,cna er
Baird,per-diem-baird-tx,23.55,cna er
Baker,per-diem-baker-wv,23.77,cna er
Baltimore MD,per-diem-baltimore-md,23.77,cna er
Bangor,per-diem-bangor-me,24.53,cna er
Baton Rouge,per-diem-baton-rouge-la,24.08,cna er
Battle Mountain,per-diem-battle-mountain-nv,24.01,cna er
Beaumont,per-diem-beaumont-tx,23.77,cna er
Beaver,per-diem-beaver-ut,23.77,cna er
Beaverton,per-diem-beaverton-or,23.55,cna er
Beckley,per-diem-beckley-wv,25.92,cna er
Bedford TX,per-diem-bedford-tx,24.53,cna er
Bell,per-diem-bell-ca,23.97,cna er
Bellevue WA,per-diem-bellevue-wa,24.08,cna er
Bellingham,per-diem-bellingham-wa,25.84,cna er
Belton MO,per-diem-belton-mo,24.01,cna er
Belton TX,per-diem-belton-tx,23.77,cna er
Bend,per-diem-bend-or,23.77,cna er
Bergenfield,per-diem-bergenfield-nj,24.53,cna er
Berthoud,per-diem-berthoud-co,23.55,cna er
Billings MT,per-diem-billings-mt,24.08,cna er
Biloxi,per-diem-biloxi-ms,25.32,cna er
Birmingham,per-diem-birmingham-al,24.08,cna er
Bisbee,per-diem-bisbee-az,22.23,cna er
Biscoe,per-diem-biscoe-nc,24.06,cna er
Bishopville,per-diem-bishopville-sc,23.77,cna er
Blacksburg,per-diem-blacksburg-va,24.01,cna er
Bloomfield,per-diem-bloomfield-ct,23.24,cna er
Bloomington,per-diem-bloomington-mn,26.10,cna er
Bloomsburg,per-diem-bloomsburg-pa,24.08,cna er
Blowing Rock,per-diem-blowing-rock-nc,24.51,cna er
Blue Springs,per-diem-blue-springs-mo,25.84,cna er
Bly,per-diem-bly-or,24.53,cna er
Boerne,per-diem-boerne-tx,23.55,cna er
Boise ID,per-diem-boise-id,23.77,cna er
Bolingbrook,per-diem-bolingbrook-il,24.53,cna er
Boone NC,per-diem-boone-nc,24.53,cna er
Bossier City,per-diem-bossier-city-la,23.77,cna er
Boston,per-diem-boston-ma,24.53,cna er
Boulder,per-diem-boulder-co,24.08,cna er
Boulder City,per-diem-boulder-city-nv,24.08,cna er
Bountiful,per-diem-bountiful-ut,23.77,cna er
Bouse,per-diem-bouse-az,23.77,cna er
Bowie,per-diem-bowie-md,26.00,cna er
Bowling Green,per-diem-bowling-green-ky,23.77,cna er
Bowling Green,per-diem-bowling-green-oh,25.85,cna er
Bozeman MT,per-diem-bozeman-mt,24.08,cna er
Bremerton,per-diem-bremerton-wa,25.03,cna er
Bridgeport,per-diem-bridgeport-ct,25.95,cna er
Brighton CO,per-diem-brighton-co,24.53,cna er
Broken Arrow,per-diem-broken-arrow-ok,23.77,cna er
Brooklyn,per-diem-brooklyn-ct,25.49,cna er
Brunswick,per-diem-brunswick-mo,25.67,cna er
Brunswick,per-diem-brunswick-oh,25.38,cna er
Bryn Athyn Huntingdon Valley,per-diem-bryn-athyn-huntingdon-valley-pa,25.64,cna er
Buffalo,per-diem-buffalo-ny,25.45,cna er
Buna,per-diem-buna-tx,23.55,cna er
Burke,per-diem-burke-va,25.00,cna er
Butte MT,per-diem-butte-mt,24.08,cna er
Cambridge,per-diem-cambridge-md,23.77,cna er
Cape Girardeau,per-diem-cape-girardeau-mo,25.65,cna er
Cape May,per-diem-cape-may-nj,25.87,cna er
Carmel,per-diem-carmel-in,23.77,cna er
Cedar Rapids,per-diem-cedar-rapids-ia,25.55,cna er
Centerville OH,per-diem-centerville-oh,25.61,cna er
Centreville,per-diem-centreville-va,25.54,cna er
Chandler,per-diem-chandler-az,24.08,cna er
Charleston,per-diem-charleston-sc,24.01,cna er
Charleston,per-diem-charleston-wv,25.68,cna er
Charlotte Elizabeth,per-diem-charlotte-elizabeth-nc,26.31,cna er
Charlotte Myers Park,per-diem-charlotte-myers-park-nc,25.74,cna er
