name,slug,pay,license
Abernathy,per-diem-abernathy-tx,24.53,cna med surg
Abilene,per-diem-abilene-tx,23.77,cna med surg
Abingdon,per-diem-abingdon-va,24.08,cna med surg
Absecon,per-diem-absecon-nj,25.93,cna med surg
Addison,per-diem-addison-tx,24.08,cna med surg
Affton,per-diem-affton-mo,25.61,cna med surg
Aiken,per-diem-aiken-sc,22.23,cna med surg
Akron,per-diem-akron-co,24.08,cna med surg
Akron,per-diem-akron-oh,25.56,cna med surg
Alachua,per-diem-alachua-fl,24.08,cna med surg
Alafaya,per-diem-alafaya-fl,25.65,cna med surg
Alamo,per-diem-alamo-tx,24.01,cna med surg
Alamosa,per-diem-alamosa-co,23.77,cna med surg
Albany,per-diem-albany-ny,25.61,cna med surg
Albany GA,per-diem-albany-ga,26.00,cna med surg
Albany OR,per-diem-albany-or,23.24,cna med surg
Albany TX,per-diem-albany-tx,24.08,cna med surg
Albia,per-diem-albia-ia,23.77,cna med surg
Albuquerque,per-diem-albuquerque-nm,24.53,cna med surg
Alexander City,per-diem-alexander-city-al,23.55,cna med surg
Alexandria LA,per-diem-alexandria-la,24.53,cna med surg
Alhambra,per-diem-alhambra-ca,24.53,cna med surg
Alice,per-diem-alice-tx,25.55,cna med surg
Allen,per-diem-allen-tx,24.08,cna med surg
Allentown,per-diem-allentown-pa,25.32,cna med surg
Alliance,per-diem-alliance-oh,25.03,cna med surg
Alpharetta,per-diem-alpharetta-ga,25.45,cna med surg
Alpine,per-diem-alpine-tx,24.53,cna med surg
Alpine,per-diem-alpine-ut,23.77,cna med surg
Altamonte Springs,per-diem-altamonte-springs-fl,24.53,cna med surg
Alto,per-diem-alto-tx,24.08,cna med surg
Altoona,per-diem-altoona-pa,25.64,cna med surg
Altoona IA,per-diem-altoona-ia,25.67,cna med surg
Alvin,per-diem-alvin-tx,24.08,cna med surg
Alvord,per-diem-alvord-tx,24.08,cna med surg
Amarillo,per-diem-amarillo-tx,24.08,cna med surg
American Fork,per-diem-american-fork-ut,24.08,cna med surg
Ames,per-diem-ames-ia,24.01,cna med surg
Amherst,per-diem-amherst-8-va,23.77,cna med surg
Ammon ID,per-diem-ammon-id,24.08,cna med surg
Anaconda,per-diem-anaconda-mt,24.53,cna med surg
Anaheim,per-diem-anaheim-ca,23.77,cna med surg
Anahuac,per-diem-anahuac-tx,23.77,cna med surg
Anchorage,per-diem-anchorage-ak,23.55,cna med surg
Anderson,per-diem-anderson-in,25.00,cna med surg
Anderson,per-diem-anderson-sc,25.61,cna med surg
Andover,per-diem-andover-mn,26.11,cna med surg
Andrews,per-diem-andrews-tx,24.53,cna med surg
Angleton,per-diem-angleton-tx,25.55,cna med surg
Ankeny,per-diem-ankeny-ia,26.11,cna med surg
Annapolis,per-diem-annapolis-md-8488b,25.61,cna med surg
Apollo Beach,per-diem-apollo-beach-fl,24.08,cna med surg
Apopka,per-diem-apopka-fl,24.01,cna med surg
Aransas Pass,per-diem-aransas-pass-tx,23.77,cna med surg
Arcadia,per-diem-arcadia-fl,24.53,cna med surg
Arcata,per-diem-arcata-ca,23.77,cna med surg
Archer,per-diem-archer-fl,24.08,cna med surg
