name,slug,pay,license
700 Smith St,certified-nursing-assistant-per-diem-prn-700-smith-st-ri,23.29,cna
Aberdeen ID,certified-nursing-assistant-per-diem-prn-aberdeen-id,20.11,cna
Aberdeen SD,certified-nursing-assistant-per-diem-prn-aberdeen-sd,25.21,cna
Aberdeen WA,certified-nursing-assistant-per-diem-prn-aberdeen-wa,27.12,cna
Abernathy,certified-nursing-assistant-per-diem-prn-abernathy-tx,20.11,cna
Abilene,certified-nursing-assistant-per-diem-prn-abilene-tx,20.11,cna
Abingdon,certified-nursing-assistant-per-diem-prn-abingdon-va,25.29,cna
Abington,certified-nursing-assistant-per-diem-prn-abington-pa,25.32,cna
Absecon,certified-nursing-assistant-per-diem-prn-absecon-nj,26.00,cna
Addison,certified-nursing-assistant-per-diem-prn-addison-tx,20.11,cna
Affton,certified-nursing-assistant-per-diem-prn-affton-mo,25.61,cna
Aiken,certified-nursing-assistant-per-diem-prn-aiken-sc,20.11,cna
Ajo,certified-nursing-assistant-per-diem-prn-ajo-az,26.03,cna
Akron CO,certified-nursing-assistant-per-diem-prn-akron-co,20.11,cna
Akron OH,certified-nursing-assistant-per-diem-prn-akron-oh,23.29,cna
Alabaster,certified-nursing-assistant-per-diem-prn-alabaster-al,25.20,cna
Alachua,certified-nursing-assistant-per-diem-prn-alachua-fl,20.11,cna
Alafaya,certified-nursing-assistant-per-diem-prn-alafaya-fl,25.65,cna
Alamo,certified-nursing-assistant-per-diem-prn-alamo-tx,20.11,cna
Alamogordo,certified-nursing-assistant-per-diem-prn-alamogordo-nm,25.25,cna
Alamosa,certified-nursing-assistant-per-diem-prn-alamosa-co,20.11,cna
Albany,certified-nursing-assistant-per-diem-prn-albany-ny,25.61,cna
Albany GA,certified-nursing-assistant-per-diem-prn-albany-ga,26.00,cna
Albany OR,certified-nursing-assistant-per-diem-prn-albany-or,27.12,cna
Albany TX,certified-nursing-assistant-per-diem-prn-albany-tx,20.11,cna
Albertville,certified-nursing-assistant-per-diem-prn-albertville-al,25.45,cna
Albia IA,certified-nursing-assistant-per-diem-prn-albia-ia,20.11,cna
Albion,certified-nursing-assistant-per-diem-prn-albion-mi,20.11,cna
Albuquerque,certified-nursing-assistant-per-diem-prn-albuquerque-nm,22.60,cna
Aledo IL,certified-nursing-assistant-per-diem-prn-aledo-il,25.89,cna
Aledo TX,certified-nursing-assistant-per-diem-prn-aledo-tx,20.11,cna
Alexander City,certified-nursing-assistant-per-diem-prn-alexander-city-al,20.11,cna
Alexandria LA,certified-nursing-assistant-per-diem-prn-alexandria-la,23.87,cna
Alexandria VA,certified-nursing-assistant-per-diem-prn-alexandria-va,25.29,cna
Alhambra,certified-nursing-assistant-per-diem-prn-alhambra-ca,23.29,cna
Alice,certified-nursing-assistant-per-diem-prn-alice-tx,20.11,cna
Allen,certified-nursing-assistant-per-diem-prn-allen-tx,20.11,cna
Allentown,certified-nursing-assistant-per-diem-prn-allentown-pa,25.32,cna
Alliance,certified-nursing-assistant-per-diem-prn-alliance-ne,23.87,cna
Alliance,certified-nursing-assistant-per-diem-prn-alliance-oh,25.03,cna
Alma,certified-nursing-assistant-per-diem-prn-alma-mi,20.11,cna
Aloha,certified-nursing-assistant-per-diem-prn-aloha-or,25.61,cna
Alpena,certified-nursing-assistant-per-diem-prn-alpena-mi,20.11,cna
Alpharetta GA,certified-nursing-assistant-per-diem-prn-alpharetta-ga,25.45,cna
Alpine,certified-nursing-assistant-per-diem-prn-alpine-tx,20.11,cna
Alpine,certified-nursing-assistant-per-diem-prn-alpine-ut,23.29,cna
Alsea,certified-nursing-assistant-per-diem-prn-alsea-or,27.12,cna
Altamonte Springs,certified-nursing-assistant-per-diem-prn-altamonte-springs-fl,20.11,cna
Alto,certified-nursing-assistant-per-diem-prn-alto-tx,20.11,cna
Alton,certified-nursing-assistant-per-diem-prn-alton-tx,20.29,cna
Altoona,certified-nursing-assistant-per-diem-prn-altoona-0-wi,21.42,cna
Altoona,certified-nursing-assistant-per-diem-prn-altoona-fl,20.29,cna
Altoona,certified-nursing-assistant-per-diem-prn-altoona-pa,25.64,cna
Altoona IA,certified-nursing-assistant-per-diem-prn-altoona-ia,25.67,cna
Alturas,certified-nursing-assistant-per-diem-prn-alturas-ca,20.29,cna
Alvarado,certified-nursing-assistant-per-diem-prn-alvarado-tx,20.29,cna
Alvin,certified-nursing-assistant-per-diem-prn-alvin-tx,20.29,cna
Alvord,certified-nursing-assistant-per-diem-prn-alvord-tx,20.29,cna
Amado,certified-nursing-assistant-per-diem-prn-amado-az,26.03,cna
Amargosa Valley,certified-nursing-assistant-per-diem-prn-amargosa-valley-nv,25.21,cna
Amarillo,certified-nursing-assistant-per-diem-prn-amarillo-tx,20.29,cna
American Falls,certified-nursing-assistant-per-diem-prn-american-falls-id,20.29,cna
