name,slug,pay,license
700 Smith St,certified-residential-medication-aide-per-diem-prn-700-smith-st-ri,25.25,crma
Aberdeen ID,certified-residential-medication-aide-per-diem-prn-aberdeen-id,26.18,crma
Aberdeen SD,certified-residential-medication-aide-per-diem-prn-aberdeen-sd,25.50,crma
Aberdeen WA,certified-residential-medication-aide-per-diem-prn-aberdeen-wa,25.75,crma
Abernathy,certified-residential-medication-aide-per-diem-prn-abernathy-tx,25.20,crma
Abilene,certified-residential-medication-aide-per-diem-prn-abilene-tx,26.10,crma
Abingdon,certified-residential-medication-aide-per-diem-prn-abingdon-va,25.35,crma
Abington,certified-residential-medication-aide-per-diem-prn-abington-pa,25.32,crma
Absecon,certified-residential-medication-aide-per-diem-prn-absecon-nj,25.68,crma
Addison,certified-residential-medication-aide-per-diem-prn-addison-tx,25.40,crma
Affton,certified-residential-medication-aide-per-diem-prn-affton-mo,25.61,crma
Aiken,certified-residential-medication-aide-per-diem-prn-aiken-sc,25.66,crma
Ajo,certified-residential-medication-aide-per-diem-prn-ajo-az,25.85,crma
Akron,certified-residential-medication-aide-per-diem-prn-akron-co,26.00,crma
Akron,certified-residential-medication-aide-per-diem-prn-akron-oh,25.30,crma
Alabaster,certified-residential-medication-aide-per-diem-prn-alabaster-al,25.20,crma
Alachua,certified-residential-medication-aide-per-diem-prn-alachua-fl,25.45,crma
Alafaya,certified-residential-medication-aide-per-diem-prn-alafaya-fl,25.65,crma
Alamo,certified-residential-medication-aide-per-diem-prn-alamo-tx,25.57,crma
Alamogordo,certified-residential-medication-aide-per-diem-prn-alamogordo-nm,25.92,crma
Alamosa,certified-residential-medication-aide-per-diem-prn-alamosa-co,25.68,crma
Albany,certified-residential-medication-aide-per-diem-prn-albany-ny,25.54,crma
Albany GA,certified-residential-medication-aide-per-diem-prn-albany-ga,26.00,crma
Albany OR,certified-residential-medication-aide-per-diem-prn-albany-or,25.22,crma
Albany TX,certified-residential-medication-aide-per-diem-prn-albany-tx,25.67,crma
Albertville,certified-residential-medication-aide-per-diem-prn-albertville-al,25.45,crma
Albia,certified-residential-medication-aide-per-diem-prn-albia-ia,25.48,crma
Albion,certified-residential-medication-aide-per-diem-prn-albion-mi,25.53,crma
Albuquerque,certified-residential-medication-aide-per-diem-prn-albuquerque-nm,25.77,crma
Aledo IL,certified-residential-medication-aide-per-diem-prn-aledo-il,25.93,crma
Aledo TX,certified-residential-medication-aide-per-diem-prn-aledo-tx,25.38,crma
Alexander City,certified-residential-medication-aide-per-diem-prn-alexander-city-al,26.13,crma
Alexandria LA,certified-residential-medication-aide-per-diem-prn-alexandria-la,25.87,crma
Alexandria VA,certified-residential-medication-aide-per-diem-prn-alexandria-va,25.96,crma
Alhambra,certified-residential-medication-aide-per-diem-prn-alhambra-ca,25.41,crma
Alice,certified-residential-medication-aide-per-diem-prn-alice-tx,25.47,crma
Allen,certified-residential-medication-aide-per-diem-prn-allen-tx,25.32,crma
Allentown,certified-residential-medication-aide-per-diem-prn-allentown-pa,25.32,crma
Alliance,certified-residential-medication-aide-per-diem-prn-alliance-ne,25.61,crma
Alliance,certified-residential-medication-aide-per-diem-prn-alliance-oh,25.03,crma
Alma,certified-residential-medication-aide-per-diem-prn-alma-mi,26.11,crma
Aloha,certified-residential-medication-aide-per-diem-prn-aloha-or,25.85,crma
Alpena,certified-residential-medication-aide-per-diem-prn-alpena-mi,25.43,crma
Alpharetta,certified-residential-medication-aide-per-diem-prn-alpharetta-ga,25.45,crma
Alpine,certified-residential-medication-aide-per-diem-prn-alpine-tx,25.64,crma
Alpine,certified-residential-medication-aide-per-diem-prn-alpine-ut,25.78,crma
Alsea,certified-residential-medication-aide-per-diem-prn-alsea-or,25.37,crma
Altamonte Springs,certified-residential-medication-aide-per-diem-prn-altamonte-springs-fl,25.25,crma
Alto,certified-residential-medication-aide-per-diem-prn-alto-tx,26.18,crma
Alton,certified-residential-medication-aide-per-diem-prn-alton-tx,25.50,crma
Altoona,certified-residential-medication-aide-per-diem-prn-altoona-0-wi,25.75,crma
Altoona,certified-residential-medication-aide-per-diem-prn-altoona-fl,25.20,crma
Altoona,certified-residential-medication-aide-per-diem-prn-altoona-pa,25.64,crma
Altoona IA,certified-residential-medication-aide-per-diem-prn-altoona-ia,25.67,crma
Alturas,certified-residential-medication-aide-per-diem-prn-alturas-ca,26.10,crma
Alvarado,certified-residential-medication-aide-per-diem-prn-alvarado-tx,25.35,crma
Alvin,certified-residential-medication-aide-per-diem-prn-alvin-tx,25.40,crma
Alvord,certified-residential-medication-aide-per-diem-prn-alvord-tx,25.66,crma
Amado,certified-residential-medication-aide-per-diem-prn-amado-az,25.85,crma
Amargosa Valley,certified-residential-medication-aide-per-diem-prn-amargosa-valley-nv,26.00,crma
Amarillo,certified-residential-medication-aide-per-diem-prn-amarillo-tx,25.30,crma
American Falls,certified-residential-medication-aide-per-diem-prn-american-falls-id,25.45,crma
American Fork,certified-residential-medication-aide-per-diem-prn-american-fork-ut,25.57,crma
Ames,certified-residential-medication-aide-per-diem-prn-ames-ia,25.68,crma
Amherst,certified-residential-medication-aide-per-diem-prn-amherst-8-va,25.22,crma
Amherst,certified-residential-medication-aide-per-diem-prn-amherst-ny,25.14,crma
Amherst,certified-residential-medication-aide-per-diem-prn-amherst-tx,25.67,crma
Ammon ID,certified-residential-medication-aide-per-diem-prn-ammon-id,25.48,crma
Amsterdam,certified-residential-medication-aide-per-diem-prn-amsterdam-ny,25.53,crma
Anaconda,certified-residential-medication-aide-per-diem-prn-anaconda-mt,25.77,crma
Anacortes,certified-residential-medication-aide-per-diem-prn-anacortes-wa,25.93,crma
Anaheim,certified-residential-medication-aide-per-diem-prn-anaheim-ca,25.38,crma
Anahuac,certified-residential-medication-aide-per-diem-prn-anahuac-tx,26.13,crma
Anchorage,certified-residential-medication-aide-per-diem-prn-anchorage-ak,25.87,crma
Anderson,certified-residential-medication-aide-per-diem-prn-anderson-in,25.00,crma
Anderson,certified-residential-medication-aide-per-diem-prn-anderson-sc,25.84,crma
Andover,certified-residential-medication-aide-per-diem-prn-andover-mn,25.41,crma
Andrews,certified-residential-medication-aide-per-diem-prn-andrews-tx,25.96,crma
Aneta,certified-residential-medication-aide-per-diem-prn-aneta-nd,25.41,crma
Angelus Oaks,certified-residential-medication-aide-per-diem-prn-angelus-oaks-ca,25.47,crma
Angleton,certified-residential-medication-aide-per-diem-prn-angleton-tx,25.32,crma
Anita,certified-residential-medication-aide-per-diem-prn-anita-ia,25.68,crma
