name,slug,pay,license
700 Smith St,geriatric-nursing-assistant-per-diem-prn-700-smith-st-ri,25.25,gna
Aberdeen ID,geriatric-nursing-assistant-per-diem-prn-aberdeen-id,26.18,gna
Aberdeen SD,geriatric-nursing-assistant-per-diem-prn-aberdeen-sd,25.50,gna
Aberdeen WA,geriatric-nursing-assistant-per-diem-prn-aberdeen-wa,25.75,gna
Abernathy,geriatric-nursing-assistant-per-diem-prn-abernathy-tx,25.20,gna
Abilene,geriatric-nursing-assistant-per-diem-prn-abilene-tx,26.10,gna
Abingdon,geriatric-nursing-assistant-per-diem-prn-abingdon-va,25.35,gna
Abington,geriatric-nursing-assistant-per-diem-prn-abington-pa,25.32,gna
Absecon,geriatric-nursing-assistant-per-diem-prn-absecon-nj,25.45,gna
Addison,geriatric-nursing-assistant-per-diem-prn-addison-tx,25.40,gna
Affton,geriatric-nursing-assistant-per-diem-prn-affton-mo,25.61,gna
Aiken,geriatric-nursing-assistant-per-diem-prn-aiken-sc,25.66,gna
Ajo,geriatric-nursing-assistant-per-diem-prn-ajo-az,25.85,gna
Akron,geriatric-nursing-assistant-per-diem-prn-akron-co,26.00,gna
Akron,geriatric-nursing-assistant-per-diem-prn-akron-oh,25.30,gna
Alabaster,geriatric-nursing-assistant-per-diem-prn-alabaster-al,25.20,gna
Alachua,geriatric-nursing-assistant-per-diem-prn-alachua-fl,25.45,gna
Alafaya,geriatric-nursing-assistant-per-diem-prn-alafaya-fl,25.65,gna
Alamo,geriatric-nursing-assistant-per-diem-prn-alamo-tx,25.57,gna
Alamogordo,geriatric-nursing-assistant-per-diem-prn-alamogordo-nm,25.25,gna
Alamosa,geriatric-nursing-assistant-per-diem-prn-alamosa-co,25.68,gna
Albany,geriatric-nursing-assistant-per-diem-prn-albany-ny,25.61,gna
Albany GA,geriatric-nursing-assistant-per-diem-prn-albany-ga,26.00,gna
Albany OR,geriatric-nursing-assistant-per-diem-prn-albany-or,25.22,gna
Albany TX,geriatric-nursing-assistant-per-diem-prn-albany-tx,25.67,gna
Albertville,geriatric-nursing-assistant-per-diem-prn-albertville-al,25.45,gna
Albia,geriatric-nursing-assistant-per-diem-prn-albia-ia,25.48,gna
Albion,geriatric-nursing-assistant-per-diem-prn-albion-mi,25.53,gna
Albuquerque,geriatric-nursing-assistant-per-diem-prn-albuquerque-nm,25.77,gna
Aledo IL,geriatric-nursing-assistant-per-diem-prn-aledo-il,25.93,gna
Aledo TX,geriatric-nursing-assistant-per-diem-prn-aledo-tx,25.38,gna
Alexander City,geriatric-nursing-assistant-per-diem-prn-alexander-city-al,26.13,gna
Alexandria LA,geriatric-nursing-assistant-per-diem-prn-alexandria-la,25.87,gna
Alexandria VA,geriatric-nursing-assistant-per-diem-prn-alexandria-va,25.96,gna
Alhambra,geriatric-nursing-assistant-per-diem-prn-alhambra-ca,25.41,gna
Alice,geriatric-nursing-assistant-per-diem-prn-alice-tx,25.47,gna
Allen,geriatric-nursing-assistant-per-diem-prn-allen-tx,25.32,gna
Allentown,geriatric-nursing-assistant-per-diem-prn-allentown-pa,25.32,gna
Alliance,geriatric-nursing-assistant-per-diem-prn-alliance-ne,25.61,gna
Alliance,geriatric-nursing-assistant-per-diem-prn-alliance-oh,25.03,gna
Alma,geriatric-nursing-assistant-per-diem-prn-alma-mi,26.11,gna
Aloha,geriatric-nursing-assistant-per-diem-prn-aloha-or,25.61,gna
Alpena,geriatric-nursing-assistant-per-diem-prn-alpena-mi,25.43,gna
Alpharetta,geriatric-nursing-assistant-per-diem-prn-alpharetta-ga,25.45,gna
Alpine,geriatric-nursing-assistant-per-diem-prn-alpine-tx,25.64,gna
Alpine,geriatric-nursing-assistant-per-diem-prn-alpine-ut,25.78,gna
Alsea,geriatric-nursing-assistant-per-diem-prn-alsea-or,25.37,gna
Altamonte Springs,geriatric-nursing-assistant-per-diem-prn-altamonte-springs-fl,25.25,gna
Alto,geriatric-nursing-assistant-per-diem-prn-alto-tx,26.18,gna
Alton,geriatric-nursing-assistant-per-diem-prn-alton-tx,25.50,gna
Altoona,geriatric-nursing-assistant-per-diem-prn-altoona-0-wi,25.75,gna
Altoona,geriatric-nursing-assistant-per-diem-prn-altoona-fl,25.20,gna
Altoona,geriatric-nursing-assistant-per-diem-prn-altoona-pa,25.64,gna
Altoona IA,geriatric-nursing-assistant-per-diem-prn-altoona-ia,25.67,gna
Alturas,geriatric-nursing-assistant-per-diem-prn-alturas-ca,26.10,gna
Alvarado,geriatric-nursing-assistant-per-diem-prn-alvarado-tx,25.35,gna
Alvin,geriatric-nursing-assistant-per-diem-prn-alvin-tx,25.40,gna
Alvord,geriatric-nursing-assistant-per-diem-prn-alvord-tx,25.66,gna
Amado,geriatric-nursing-assistant-per-diem-prn-amado-az,25.85,gna
Amargosa Valley,geriatric-nursing-assistant-per-diem-prn-amargosa-valley-nv,26.00,gna
Amarillo,geriatric-nursing-assistant-per-diem-prn-amarillo-tx,25.30,gna
American Falls,geriatric-nursing-assistant-per-diem-prn-american-falls-id,25.45,gna
American Fork,geriatric-nursing-assistant-per-diem-prn-american-fork-ut,25.57,gna
Ames,geriatric-nursing-assistant-per-diem-prn-ames-ia,25.68,gna
Amherst,geriatric-nursing-assistant-per-diem-prn-amherst-8-va,25.22,gna
Amherst,geriatric-nursing-assistant-per-diem-prn-amherst-ny,25.03,gna
Amherst,geriatric-nursing-assistant-per-diem-prn-amherst-tx,25.67,gna
Ammon ID,geriatric-nursing-assistant-per-diem-prn-ammon-id,25.48,gna
Amsterdam,geriatric-nursing-assistant-per-diem-prn-amsterdam-ny,25.53,gna
Anaconda,geriatric-nursing-assistant-per-diem-prn-anaconda-mt,25.77,gna
Anacortes,geriatric-nursing-assistant-per-diem-prn-anacortes-wa,25.93,gna
Anaheim,geriatric-nursing-assistant-per-diem-prn-anaheim-ca,25.38,gna
Anahuac,geriatric-nursing-assistant-per-diem-prn-anahuac-tx,26.13,gna
Anchorage,geriatric-nursing-assistant-per-diem-prn-anchorage-ak,25.87,gna
Anderson,geriatric-nursing-assistant-per-diem-prn-anderson-in,25.00,gna
Anderson,geriatric-nursing-assistant-per-diem-prn-anderson-sc,25.61,gna
Andover,geriatric-nursing-assistant-per-diem-prn-andover-mn,26.11,gna
Andrews,geriatric-nursing-assistant-per-diem-prn-andrews-tx,25.96,gna
Aneta,geriatric-nursing-assistant-per-diem-prn-aneta-nd,25.41,gna
Angelus Oaks,geriatric-nursing-assistant-per-diem-prn-angelus-oaks-ca,25.47,gna
Angleton,geriatric-nursing-assistant-per-diem-prn-angleton-tx,25.32,gna
Anita,geriatric-nursing-assistant-per-diem-prn-anita-ia,25.66,gna
Ankeny,geriatric-nursing-assistant-per-diem-prn-ankeny-ia,26.11,gna
Ann Arbor,geriatric-nursing-assistant-per-diem-prn-ann-arbor-mi,25.43,gna
Annandale,geriatric-nursing-assistant-per-diem-prn-annandale-va,25.61,gna
Annapolis,geriatric-nursing-assistant-per-diem-prn-annapolis-md-1c923,25.61,gna
Annapolis MD,geriatric-nursing-assistant-per-diem-prn-annapolis-md,26.11,gna
Anniston,geriatric-nursing-assistant-per-diem-prn-anniston-al,25.38,gna
Anson,geriatric-nursing-assistant-per-diem-prn-anson-tx,25.43,gna
Anthem,geriatric-nursing-assistant-per-diem-prn-anthem-az,25.64,gna
Antigo,geriatric-nursing-assistant-per-diem-prn-antigo-wi,25.78,gna
Antonito,geriatric-nursing-assistant-per-diem-prn-antonito-co,25.37,gna
Any City,geriatric-nursing-assistant-per-diem-prn-any-city-or,25.25,gna
Apache Junction AZ,geriatric-nursing-assistant-per-diem-prn-apache-junction-az,26.18,gna
Apalachicola,geriatric-nursing-assistant-per-diem-prn-apalachicola-fl,25.50,gna
Apex,geriatric-nursing-assistant-per-diem-prn-apex-nc,26.00,gna
Apollo Beach,geriatric-nursing-assistant-per-diem-prn-apollo-beach-fl,25.75,gna
Apopka,geriatric-nursing-assistant-per-diem-prn-apopka-fl,25.20,gna
Apple Valley,geriatric-nursing-assistant-per-diem-prn-apple-valley-mn,25.67,gna
Appleton,geriatric-nursing-assistant-per-diem-prn-appleton-wi,25.50,gna
Aransas Pass,geriatric-nursing-assistant-per-diem-prn-aransas-pass-tx,26.10,gna
Arcadia,geriatric-nursing-assistant-per-diem-prn-arcadia-fl,25.35,gna
Arcata,geriatric-nursing-assistant-per-diem-prn-arcata-ca,25.40,gna
Archer,geriatric-nursing-assistant-per-diem-prn-archer-fl,25.85,gna
Archer City,geriatric-nursing-assistant-per-diem-prn-archer-city-tx,25.66,gna
Arco,geriatric-nursing-assistant-per-diem-prn-arco-id,26.00,gna
Ardmore,geriatric-nursing-assistant-per-diem-prn-ardmore-ok,25.85,gna
Arivaca,geriatric-nursing-assistant-per-diem-prn-arivaca-az,25.30,gna
Arizona City,geriatric-nursing-assistant-per-diem-prn-arizona-city-az,25.45,gna
Arlington,geriatric-nursing-assistant-per-diem-prn-arlington-ma,25.83,gna
Arlington Heights,geriatric-nursing-assistant-per-diem-prn-arlington-heights-il,25.64,gna
Arlington TX,geriatric-nursing-assistant-per-diem-prn-arlington-tx,26.18,gna
Arlington VA,geriatric-nursing-assistant-per-diem-prn-arlington-va,25.57,gna
Arlington WA,geriatric-nursing-assistant-per-diem-prn-arlington-wa,25.68,gna
Arnold,geriatric-nursing-assistant-per-diem-prn-arnold-mo,25.43,gna
Artesia,geriatric-nursing-assistant-per-diem-prn-artesia-nm,25.22,gna
Arvada,geriatric-nursing-assistant-per-diem-prn-arvada-co,25.67,gna
Ash Fork,geriatric-nursing-assistant-per-diem-prn-ash-fork-az,25.48,gna
Ashburn,geriatric-nursing-assistant-per-diem-prn-ashburn-va,25.53,gna
Asheville Charlotte Street,geriatric-nursing-assistant-per-diem-prn-asheville-charlotte-street-nc,25.38,gna
Asheville NC,geriatric-nursing-assistant-per-diem-prn-asheville-nc,25.77,gna
Ashland,geriatric-nursing-assistant-per-diem-prn-ashland-ky,25.59,gna
Ashland City,geriatric-nursing-assistant-per-diem-prn-ashland-city-tn,25.48,gna
Ashland OR,geriatric-nursing-assistant-per-diem-prn-ashland-or,25.93,gna
Ashland WI,geriatric-nursing-assistant-per-diem-prn-ashland-wi,25.38,gna
Ashley,geriatric-nursing-assistant-per-diem-prn-ashley-nd,26.13,gna
Ashley,geriatric-nursing-assistant-per-diem-prn-ashley-oh,25.87,gna
Ashton,geriatric-nursing-assistant-per-diem-prn-ashton-id,25.96,gna
Aspen CO,geriatric-nursing-assistant-per-diem-prn-aspen-co,25.41,gna
Aspen Hill,geriatric-nursing-assistant-per-diem-prn-aspen-hill-md,25.38,gna
Aspermont,geriatric-nursing-assistant-per-diem-prn-aspermont-tx,25.47,gna
Astoria OR,geriatric-nursing-assistant-per-diem-prn-astoria-or,25.32,gna
Athens,geriatric-nursing-assistant-per-diem-prn-athens-al,25.48,gna
Athens,geriatric-nursing-assistant-per-diem-prn-athens-ga,25.22,gna
Athens,geriatric-nursing-assistant-per-diem-prn-athens-oh,25.74,gna
Athens,geriatric-nursing-assistant-per-diem-prn-athens-tx,25.61,gna
Atlanta,geriatric-nursing-assistant-per-diem-prn-atlanta-tx,26.11,gna
Atlanta Buckhead,geriatric-nursing-assistant-per-diem-prn-atlanta-buckhead-ga,25.54,gna
Atlanta GA,geriatric-nursing-assistant-per-diem-prn-atlanta-ga,25.68,gna
Atlanta South Downtown,geriatric-nursing-assistant-per-diem-prn-atlanta-south-downtown-ga,25.26,gna
Atlantic,geriatric-nursing-assistant-per-diem-prn-atlantic-ia,25.64,gna
Atlantic Beach,geriatric-nursing-assistant-per-diem-prn-atlantic-beach-fl,25.43,gna
Atlantic City,geriatric-nursing-assistant-per-diem-prn-atlantic-city-nj,25.99,gna
Atlantis,geriatric-nursing-assistant-per-diem-prn-atlantis-fl,25.78,gna
Attalla,geriatric-nursing-assistant-per-diem-prn-attalla-al,25.37,gna
Attleboro,geriatric-nursing-assistant-per-diem-prn-attleboro-ma,25.95,gna
Atwood,geriatric-nursing-assistant-per-diem-prn-atwood-ks,26.18,gna
Aubrey,geriatric-nursing-assistant-per-diem-prn-aubrey-tx,25.25,gna
Auburn,geriatric-nursing-assistant-per-diem-prn-auburn-al,25.75,gna
Auburn,geriatric-nursing-assistant-per-diem-prn-auburn-me,25.61,gna
Auburn IN,geriatric-nursing-assistant-per-diem-prn-auburn-in,26.18,gna
Auburn NY,geriatric-nursing-assistant-per-diem-prn-auburn-ny,25.50,gna
Auburn WA,geriatric-nursing-assistant-per-diem-prn-auburn-wa,25.75,gna
Auburndale,geriatric-nursing-assistant-per-diem-prn-auburndale-fl,25.20,gna
Augusta,geriatric-nursing-assistant-per-diem-prn-augusta-ga,25.30,gna
Augusta,geriatric-nursing-assistant-per-diem-prn-augusta-me,25.50,gna
Aumsville,geriatric-nursing-assistant-per-diem-prn-aumsville-or,26.10,gna
Aurora,geriatric-nursing-assistant-per-diem-prn-aurora-co,25.35,gna
Aurora,geriatric-nursing-assistant-per-diem-prn-aurora-il,25.67,gna
Aurora East Ridge - Ptarmigan Park,geriatric-nursing-assistant-per-diem-prn-aurora-east-ridge-ptarmigan-park-co,25.19,gna
Aurora Heather Gardens,geriatric-nursing-assistant-per-diem-prn-aurora-heather-gardens-co,25.48,gna
Austin NV,geriatric-nursing-assistant-per-diem-prn-austin-nv,25.40,gna
Austin TX,geriatric-nursing-assistant-per-diem-prn-austin-tx,25.66,gna
Austintown,geriatric-nursing-assistant-per-diem-prn-austintown-oh,25.03,gna
Avalon,geriatric-nursing-assistant-per-diem-prn-avalon-ca,25.85,gna
Ave Maria,geriatric-nursing-assistant-per-diem-prn-ave-maria-fl,26.00,gna
Aventura,geriatric-nursing-assistant-per-diem-prn-aventura-fl,25.30,gna
Avinger,geriatric-nursing-assistant-per-diem-prn-avinger-tx,25.45,gna
Avon,geriatric-nursing-assistant-per-diem-prn-avon-oh,25.03,gna
Avon CO,geriatric-nursing-assistant-per-diem-prn-avon-co,25.57,gna
Avon CT,geriatric-nursing-assistant-per-diem-prn-avon-ct,25.68,gna
Avon Lake,geriatric-nursing-assistant-per-diem-prn-avon-lake-oh,25.95,gna
Avon Park,geriatric-nursing-assistant-per-diem-prn-avon-park-fl,25.22,gna
Avondale AZ,geriatric-nursing-assistant-per-diem-prn-avondale-az,25.67,gna
Avondale CO,geriatric-nursing-assistant-per-diem-prn-avondale-co,25.48,gna
Axtell,geriatric-nursing-assistant-per-diem-prn-axtell-ne,25.53,gna
Azle,geriatric-nursing-assistant-per-diem-prn-azle-tx,25.77,gna
Babylon town,geriatric-nursing-assistant-per-diem-prn-babylon-town-ny,25.92,gna
Bacliff,geriatric-nursing-assistant-per-diem-prn-bacliff-tx,25.93,gna
Bad Axe,geriatric-nursing-assistant-per-diem-prn-bad-axe-mi,25.38,gna
Badger,geriatric-nursing-assistant-per-diem-prn-badger-ak,25.96,gna
Bagdad,geriatric-nursing-assistant-per-diem-prn-bagdad-az,26.13,gna
Bailey,geriatric-nursing-assistant-per-diem-prn-bailey-co,25.87,gna
BAINBRIDGE ISLAND,geriatric-nursing-assistant-per-diem-prn-bainbridge-island-wa,25.96,gna
Baird,geriatric-nursing-assistant-per-diem-prn-baird-tx,25.41,gna
Baker,geriatric-nursing-assistant-per-diem-prn-baker-wv,25.32,gna
Baker City,geriatric-nursing-assistant-per-diem-prn-baker-city-or,25.47,gna
Bakersfield,geriatric-nursing-assistant-per-diem-prn-bakersfield-ca,25.43,gna
Balch Springs,geriatric-nursing-assistant-per-diem-prn-balch-springs-tx,25.61,gna
Ballinger,geriatric-nursing-assistant-per-diem-prn-ballinger-tx,26.11,gna
Ballwin,geriatric-nursing-assistant-per-diem-prn-ballwin-mo,25.43,gna
Baltimore,geriatric-nursing-assistant-per-diem-prn-baltimore-md-503f7,25.37,gna
Baltimore MD,geriatric-nursing-assistant-per-diem-prn-baltimore-md,25.64,gna
