name,slug,pay,license
700 Smith St,licensed-practical-nurse-per-diem-prn-700-smith-st-ri,45.38,lpn
Aberdeen ID,licensed-practical-nurse-per-diem-prn-aberdeen-id,41.24,lpn
Aberdeen SD,licensed-practical-nurse-per-diem-prn-aberdeen-sd,44.78,lpn
Aberdeen WA,licensed-practical-nurse-per-diem-prn-aberdeen-wa,44.78,lpn
Abernathy,licensed-practical-nurse-per-diem-prn-abernathy-tx,41.24,lpn
Abilene,licensed-practical-nurse-per-diem-prn-abilene-tx,41.24,lpn
Abingdon,licensed-practical-nurse-per-diem-prn-abingdon-va,45.38,lpn
Abington,licensed-practical-nurse-per-diem-prn-abington-pa,50.95,lpn
Absecon,licensed-practical-nurse-per-diem-prn-absecon-nj,50.31,lpn
Addison TX,licensed-practical-nurse-per-diem-prn-addison-tx,41.24,lpn
Affton,licensed-practical-nurse-per-diem-prn-affton-mo,48.65,lpn
Aiken SC,licensed-practical-nurse-per-diem-prn-aiken-sc,41.24,lpn
Ajo,licensed-practical-nurse-per-diem-prn-ajo-az,44.78,lpn
Akron CO,licensed-practical-nurse-per-diem-prn-akron-co,41.24,lpn
Akron OH,licensed-practical-nurse-per-diem-prn-akron-oh,45.38,lpn
Alabaster,licensed-practical-nurse-per-diem-prn-alabaster-al,49.58,lpn
Alachua,licensed-practical-nurse-per-diem-prn-alachua-fl,41.24,lpn
Alafaya,licensed-practical-nurse-per-diem-prn-alafaya-fl,48.75,lpn
Alamo,licensed-practical-nurse-per-diem-prn-alamo-tx,41.24,lpn
Alamogordo,licensed-practical-nurse-per-diem-prn-alamogordo-nm,53.57,lpn
Alamosa,licensed-practical-nurse-per-diem-prn-alamosa-co,41.24,lpn
Albany,licensed-practical-nurse-per-diem-prn-albany-ny,53.92,lpn
Albany GA,licensed-practical-nurse-per-diem-prn-albany-ga,52.92,lpn
Albany OR,licensed-practical-nurse-per-diem-prn-albany-or,44.78,lpn
Albany TX,licensed-practical-nurse-per-diem-prn-albany-tx,41.24,lpn
Albertville,licensed-practical-nurse-per-diem-prn-albertville-al,49.95,lpn
Albia IA,licensed-practical-nurse-per-diem-prn-albia-ia,41.24,lpn
Albion,licensed-practical-nurse-per-diem-prn-albion-mi,41.24,lpn
Albuquerque,licensed-practical-nurse-per-diem-prn-albuquerque-nm,43.58,lpn
Aledo IL,licensed-practical-nurse-per-diem-prn-aledo-il,44.78,lpn
Aledo TX,licensed-practical-nurse-per-diem-prn-aledo-tx,41.24,lpn
Alexander City,licensed-practical-nurse-per-diem-prn-alexander-city-al,41.24,lpn
