name,slug,pay,license
Abernathy,licensed-vocational-nurse-per-diem-prn-abernathy-tx,41.24,lvn
Abilene,licensed-vocational-nurse-per-diem-prn-abilene-tx,41.24,lvn
Addison,licensed-vocational-nurse-per-diem-prn-addison-tx,41.24,lvn
Alamo,licensed-vocational-nurse-per-diem-prn-alamo-tx,41.24,lvn
Albany TX,licensed-vocational-nurse-per-diem-prn-albany-tx,41.24,lvn
Aledo TX,licensed-vocational-nurse-per-diem-prn-aledo-tx,41.24,lvn
Alhambra,licensed-vocational-nurse-per-diem-prn-alhambra-ca,45.38,lvn
Alice,licensed-vocational-nurse-per-diem-prn-alice-tx,41.24,lvn
Allen,licensed-vocational-nurse-per-diem-prn-allen-tx,41.24,lvn
Alpine,licensed-vocational-nurse-per-diem-prn-alpine-tx,41.24,lvn
Alto,licensed-vocational-nurse-per-diem-prn-alto-tx,41.24,lvn
Alton,licensed-vocational-nurse-per-diem-prn-alton-tx,41.43,lvn
Alturas,licensed-vocational-nurse-per-diem-prn-alturas-ca,41.43,lvn
Alvarado,licensed-vocational-nurse-per-diem-prn-alvarado-tx,41.43,lvn
Alvin,licensed-vocational-nurse-per-diem-prn-alvin-tx,41.43,lvn
Alvord,licensed-vocational-nurse-per-diem-prn-alvord-tx,41.43,lvn
Amarillo,licensed-vocational-nurse-per-diem-prn-amarillo-tx,41.43,lvn
Amherst,licensed-vocational-nurse-per-diem-prn-amherst-tx,41.43,lvn
Anaheim,licensed-vocational-nurse-per-diem-prn-anaheim-ca,41.43,lvn
Anahuac,licensed-vocational-nurse-per-diem-prn-anahuac-tx,41.43,lvn
Andrews,licensed-vocational-nurse-per-diem-prn-andrews-tx,41.43,lvn
Angelus Oaks,licensed-vocational-nurse-per-diem-prn-angelus-oaks-ca,41.43,lvn
Angleton,licensed-vocational-nurse-per-diem-prn-angleton-tx,41.43,lvn
Anson,licensed-vocational-nurse-per-diem-prn-anson-tx,41.43,lvn
Aransas Pass,licensed-vocational-nurse-per-diem-prn-aransas-pass-tx,41.43,lvn
Arcata,licensed-vocational-nurse-per-diem-prn-arcata-ca,41.43,lvn
Archer City,licensed-vocational-nurse-per-diem-prn-archer-city-tx,41.43,lvn
Arlington TX,licensed-vocational-nurse-per-diem-prn-arlington-tx,52.98,lvn
Aspermont,licensed-vocational-nurse-per-diem-prn-aspermont-tx,41.43,lvn
Athens,licensed-vocational-nurse-per-diem-prn-athens-tx,41.43,lvn
Atlanta,licensed-vocational-nurse-per-diem-prn-atlanta-tx,41.43,lvn
Aubrey,licensed-vocational-nurse-per-diem-prn-aubrey-tx,41.43,lvn
Austin TX,licensed-vocational-nurse-per-diem-prn-austin-tx,52.98,lvn
