name,slug,pay,license
Akron OH,medication-aide-certified-per-diem-prn-akron-oh,25.15,ma-c
Alabaster,medication-aide-certified-per-diem-prn-alabaster-al,25.68,ma-c
Albertville,medication-aide-certified-per-diem-prn-albertville-al,25.48,ma-c
Alexander City,medication-aide-certified-per-diem-prn-alexander-city-al,25.55,ma-c
Alexandria LA,medication-aide-certified-per-diem-prn-alexandria-la,25.96,ma-c
Alliance,medication-aide-certified-per-diem-prn-alliance-oh,25.64,ma-c
Alpine,medication-aide-certified-per-diem-prn-alpine-ut,26.24,ma-c
Amargosa Valley,medication-aide-certified-per-diem-prn-amargosa-valley-nv,25.88,ma-c
American Fork UT,medication-aide-certified-per-diem-prn-american-fork-ut,25.15,ma-c
Anniston,medication-aide-certified-per-diem-prn-anniston-al,25.67,ma-c
Ashley OH,medication-aide-certified-per-diem-prn-ashley-oh,25.43,ma-c
Athens,medication-aide-certified-per-diem-prn-athens-al,25.43,ma-c
Athens OH,medication-aide-certified-per-diem-prn-athens-oh,25.22,ma-c
Attalla,medication-aide-certified-per-diem-prn-attalla-al,24.98,ma-c
Auburn,medication-aide-certified-per-diem-prn-auburn-al,25.67,ma-c
Austin NV,medication-aide-certified-per-diem-prn-austin-nv,24.80,ma-c
Austintown,medication-aide-certified-per-diem-prn-austintown-oh,25.40,ma-c
Avon,medication-aide-certified-per-diem-prn-avon-oh,25.23,ma-c
Avon Lake,medication-aide-certified-per-diem-prn-avon-lake-oh,26.10,ma-c
Barberton,medication-aide-certified-per-diem-prn-barberton-oh,26.24,ma-c
Batesville,medication-aide-certified-per-diem-prn-batesville-ar,26.24,ma-c
Baton Rouge LA,medication-aide-certified-per-diem-prn-baton-rouge-la,25.15,ma-c
Battle Mountain,medication-aide-certified-per-diem-prn-battle-mountain-nv,25.96,ma-c
Bayou Cane,medication-aide-certified-per-diem-prn-bayou-cane-la,25.48,ma-c
Beatty,medication-aide-certified-per-diem-prn-beatty-nv,25.64,ma-c
Beaver,medication-aide-certified-per-diem-prn-beaver-ut,25.43,ma-c
Beavercreek,medication-aide-certified-per-diem-prn-beavercreek-oh,25.74,ma-c
Bella Vista,medication-aide-certified-per-diem-prn-bella-vista-ar,25.63,ma-c
Benton,medication-aide-certified-per-diem-prn-benton-ar,25.40,ma-c
Bentonville,medication-aide-certified-per-diem-prn-bentonville-ar,26.24,ma-c
Bessemer,medication-aide-certified-per-diem-prn-bessemer-al,25.63,ma-c
Bicknell,medication-aide-certified-per-diem-prn-bicknell-ut,25.48,ma-c
Birmingham,medication-aide-certified-per-diem-prn-birmingham-al,25.59,ma-c
Blanding,medication-aide-certified-per-diem-prn-blanding-ut,25.40,ma-c
Bossier City LA,medication-aide-certified-per-diem-prn-bossier-city-la,26.24,ma-c
Boulder City,medication-aide-certified-per-diem-prn-boulder-city-nv,25.55,ma-c
Bountiful UT,medication-aide-certified-per-diem-prn-bountiful-ut,26.10,ma-c
Bowling Green OH,medication-aide-certified-per-diem-prn-bowling-green-oh,25.55,ma-c
Brigham City UT,medication-aide-certified-per-diem-prn-brigham-city-ut,25.68,ma-c
Brunswick,medication-aide-certified-per-diem-prn-brunswick-oh,26.14,ma-c
Bryant,medication-aide-certified-per-diem-prn-bryant-ar,25.55,ma-c
Cabot,medication-aide-certified-per-diem-prn-cabot-ar,25.29,ma-c
Caliente,medication-aide-certified-per-diem-prn-caliente-nv,25.82,ma-c
Cannonville,medication-aide-certified-per-diem-prn-cannonville-ut,25.74,ma-c
Canton,medication-aide-certified-per-diem-prn-canton-oh,25.43,ma-c
Carlin,medication-aide-certified-per-diem-prn-carlin-nv,26.24,ma-c
Carson City,medication-aide-certified-per-diem-prn-carson-city-nv,25.60,ma-c
Castle Dale,medication-aide-certified-per-diem-prn-castle-dale-ut,25.29,ma-c
Cedar City,medication-aide-certified-per-diem-prn-cedar-city-ut,25.80,ma-c
Cedar Hills,medication-aide-certified-per-diem-prn-cedar-hills-ut,25.43,ma-c
Centerfield,medication-aide-certified-per-diem-prn-centerfield-ut,26.24,ma-c
Centerville OH,medication-aide-certified-per-diem-prn-centerville-oh,25.48,ma-c
Centerville UT,medication-aide-certified-per-diem-prn-centerville-ut,25.59,ma-c
Central,medication-aide-certified-per-diem-prn-central-la,25.43,ma-c
Chalmette,medication-aide-certified-per-diem-prn-chalmette-la,25.43,ma-c
Chesterville,medication-aide-certified-per-diem-prn-chesterville-oh,25.86,ma-c
Chillicothe OH,medication-aide-certified-per-diem-prn-chillicothe-oh,26.10,ma-c
Cincinnati OH,medication-aide-certified-per-diem-prn-cincinnati-nd,25.23,ma-c
Circleville,medication-aide-certified-per-diem-prn-circleville-ut,25.48,ma-c
Clearfield UT,medication-aide-certified-per-diem-prn-clearfield-ut,24.98,ma-c
