name,slug,pay,license
Akron,qmap-prn-per-diem-akron-co,23.11,qmap
Alamosa,qmap-prn-per-diem-alamosa-co,23.11,qmap
Antonito,qmap-prn-per-diem-antonito-co,23.11,qmap
Arizona City,qmap-prn-per-diem-arizona-city-az,20.47,qmap
Arvada,qmap-prn-per-diem-arvada-co,28.02,qmap
Aspen,qmap-prn-per-diem-aspen-co,23.11,qmap
Aurora,qmap-prn-per-diem-aurora-co,23.11,qmap
Aurora East Ridge - Ptarmigan Park,qmap-prn-per-diem-aurora-east-ridge-ptarmigan-park-co,26.32,qmap
Aurora Heather Gardens,qmap-prn-per-diem-aurora-heather-gardens-co,26.32,qmap
Avon CO,qmap-prn-per-diem-avon-co,23.11,qmap
Avondale CO,qmap-prn-per-diem-avondale-co,23.11,qmap
Bailey,qmap-prn-per-diem-bailey-co,23.11,qmap
Basalt,qmap-prn-per-diem-basalt-co,23.11,qmap
Berthoud,qmap-prn-per-diem-berthoud-co,23.11,qmap
Black Hawk,qmap-prn-per-diem-black-hawk-co,23.48,qmap
Boulder,qmap-prn-per-diem-boulder-co,23.48,qmap
Breckenridge CO,qmap-prn-per-diem-breckenridge-co,23.48,qmap
Brighton,qmap-prn-per-diem-brighton-co,23.48,qmap
Broomfield,qmap-prn-per-diem-broomfield-co,23.48,qmap
Brush,qmap-prn-per-diem-brush-co,23.48,qmap
Buena Vista,qmap-prn-per-diem-buena-vista-co,23.48,qmap
Burlington,qmap-prn-per-diem-burlington-co,23.48,qmap
Calhan,qmap-prn-per-diem-calhan-co,23.48,qmap
Canon City,qmap-prn-per-diem-canon-city-co,23.48,qmap
Carbondale,qmap-prn-per-diem-carbondale-co,23.48,qmap
Castle Pines,qmap-prn-per-diem-castle-pines-co,23.48,qmap
Castle Rock,qmap-prn-per-diem-castle-rock-co,23.48,qmap
Cedaredge,qmap-prn-per-diem-cedaredge-co,23.48,qmap
Centennial,qmap-prn-per-diem-centennial-co,23.48,qmap
Centennial,qmap-prn-per-diem-centennial-co-4850a,23.89,qmap
Center CO,qmap-prn-per-diem-center-co,23.89,qmap
Cherry Hills Village,qmap-prn-per-diem-cherry-hills-village-co,23.89,qmap
Cheyenne Wells,qmap-prn-per-diem-cheyenne-wells-co,23.89,qmap
Climax,qmap-prn-per-diem-climax-co,23.89,qmap
Colorado Springs,qmap-prn-per-diem-colorado-springs-co,23.89,qmap
Commerce City,qmap-prn-per-diem-commerce-city-co,23.89,qmap
Conifer,qmap-prn-per-diem-conifer-co,23.89,qmap
Cortez,qmap-prn-per-diem-cortez-co,23.89,qmap
Craig,qmap-prn-per-diem-craig-co,23.89,qmap
Creede,qmap-prn-per-diem-creede-co,23.89,qmap
Cripple Creek,qmap-prn-per-diem-cripple-creek-co,23.89,qmap
Dakota Ridge,qmap-prn-per-diem-dakota-ridge-co,26.32,qmap
Del Norte,qmap-prn-per-diem-del-norte-co,23.89,qmap
Delta CO,qmap-prn-per-diem-delta-co,23.89,qmap
Denver City Park West,qmap-prn-per-diem-denver-city-park-west-co,25.53,qmap
Denver CO,per-diem-denver-co,26.39,qmap
Denver West,qmap-prn-per-diem-denver-west-co,24.11,qmap
Dillon CO,qmap-prn-per-diem-dillon-co,24.21,qmap
Divide,qmap-prn-per-diem-divide-co,24.21,qmap
Dove Creek,qmap-prn-per-diem-dove-creek-co,24.21,qmap
Durango,qmap-prn-per-diem-durango-co,24.21,qmap
Eads,qmap-prn-per-diem-eads-co,24.21,qmap
Eagle CO,qmap-prn-per-diem-eagle-co,24.21,qmap
Eckert,qmap-prn-per-diem-eckert-co,24.21,qmap
Edwards,qmap-prn-per-diem-edwards-co,24.21,qmap
Elbert,qmap-prn-per-diem-elbert-co,25.54,qmap
Englewood CO,qmap-prn-per-diem-englewood-co,24.21,qmap
Estes Park,qmap-prn-per-diem-estes-park-co,24.21,qmap
Evans,qmap-prn-per-diem-evans-co,24.21,qmap
Evergreen,qmap-prn-per-diem-evergreen-co,24.21,qmap
Fairplay,qmap-prn-per-diem-fairplay-co,24.55,qmap
Firestone,qmap-prn-per-diem-firestone-co,24.55,qmap
Flagler,qmap-prn-per-diem-flagler-co,24.55,qmap
Florence CO,qmap-prn-per-diem-florence-co,24.55,qmap
Florissant,qmap-prn-per-diem-florissant-co,24.55,qmap
Fort Carson,qmap-prn-per-diem-fort-carson-co,24.55,qmap
Fort Collins,qmap-prn-per-diem-fort-collins-co,24.55,qmap
Fort Lupton,qmap-prn-per-diem-fort-lupton-co,24.55,qmap
Fort Lyon,qmap-prn-per-diem-fort-lyon-co,24.55,qmap
Fort Morgan,qmap-prn-per-diem-fort-morgan-co,24.55,qmap
Fountain,qmap-prn-per-diem-fountain-co,24.55,qmap
Fowler,qmap-prn-per-diem-fowler-co,25.44,qmap
Frederick,qmap-prn-per-diem-frederick-co,25.44,qmap
Frisco CO,qmap-prn-per-diem-frisco-co,25.44,qmap
Fruita,qmap-prn-per-diem-fruita-co,25.44,qmap
Glendale CO,qmap-prn-per-diem-glendale-co,25.44,qmap
Glenwood Springs,qmap-prn-per-diem-glenwood-springs-co,25.44,qmap
Golden,qmap-prn-per-diem-golden-co,25.78,qmap
Granby,qmap-prn-per-diem-granby-co,25.78,qmap
Grand Junction,qmap-prn-per-diem-grand-junction-co,25.78,qmap
Greeley,qmap-prn-per-diem-greeley-co,25.78,qmap
Greenwood Village,qmap-prn-per-diem-greenwood-village-co,25.78,qmap
Gunnison CO,qmap-prn-per-diem-gunnison-co,25.78,qmap
Haxtun,qmap-prn-per-diem-haxtun-co,25.78,qmap
Highlands Ranch,qmap-prn-per-diem-highlands-ranch-co,25.78,qmap
Holly,qmap-prn-per-diem-holly-co,25.78,qmap
Holyoke CO,qmap-prn-per-diem-holyoke-co,25.78,qmap
Hugo,qmap-prn-per-diem-hugo-co,25.78,qmap
Idaho Springs,qmap-prn-per-diem-idaho-springs-co,25.78,qmap
Ignacio,qmap-prn-per-diem-ignacio-co,25.78,qmap
Johnstown,qmap-prn-per-diem-johnstown-co,25.78,qmap
Julesburg,qmap-prn-per-diem-julesburg-co,26.34,qmap
Ken Caryl,qmap-prn-per-diem-ken-caryl-co,24.11,qmap
Kiowa,qmap-prn-per-diem-kiowa-co,26.34,qmap
Kit Carson,qmap-prn-per-diem-kit-carson-co,26.34,qmap
Kremmling,qmap-prn-per-diem-kremmling-co,26.34,qmap
La Jara,qmap-prn-per-diem-la-jara-co,26.34,qmap
La Junta,qmap-prn-per-diem-la-junta-co,26.34,qmap
Lafayette,qmap-prn-per-diem-lafayette-co,26.34,qmap
Lake City CO,qmap-prn-per-diem-lake-city-co,26.34,qmap
Lakewood,qmap-prn-per-diem-lakewood-co,26.34,qmap
Lakewood Lasley,qmap-prn-per-diem-lakewood-lasley-co,24.56,qmap
Lakewood Marston Slopes,qmap-prn-per-diem-lakewood-marston-slopes-co,24.57,qmap
Lakewood Molholm/Two Creeks,qmap-prn-per-diem-lakewood-molholm-two-creeks-co,24.58,qmap
Lamar,qmap-prn-per-diem-lamar-co,26.87,qmap
Las Animas,qmap-prn-per-diem-las-animas-co,26.87,qmap
Leadville,qmap-prn-per-diem-leadville-co,26.87,qmap
Limon,qmap-prn-per-diem-limon-co,26.87,qmap
Littleton CO,qmap-prn-per-diem-littleton-co,26.87,qmap
Lone Tree,qmap-prn-per-diem-lone-tree-co,26.87,qmap
Longmont,qmap-prn-per-diem-longmont-co,26.87,qmap
Louisville CO,qmap-prn-per-diem-louisville-co,26.87,qmap
Loveland,qmap-prn-per-diem-loveland-co,27.19,qmap
Mancos,qmap-prn-per-diem-mancos-co,27.19,qmap
Mead,qmap-prn-per-diem-mead-co,27.19,qmap
Meeker,qmap-prn-per-diem-meeker-co,27.19,qmap
Moffat,qmap-prn-per-diem-moffat-co,27.19,qmap
Monte Vista,qmap-prn-per-diem-monte-vista-co,27.19,qmap
Montrose,qmap-prn-per-diem-montrose-co,27.19,qmap
Monument,qmap-prn-per-diem-monument-co,27.66,qmap
Morrison,qmap-prn-per-diem-morrison-co,27.66,qmap
Naturita,qmap-prn-per-diem-naturita-co,27.66,qmap
Nederland CO,qmap-prn-per-diem-nederland-co,27.66,qmap
Norman,qmap-prn-per-diem-norman-co,27.66,qmap
Northglenn,qmap-prn-per-diem-northglenn-co,27.66,qmap
Norwood,qmap-prn-per-diem-norwood-co,27.66,qmap
Olathe,qmap-prn-per-diem-olathe-co,24.09,qmap
Ordway,qmap-prn-per-diem-ordway-co,24.09,qmap
Pagosa Springs,qmap-prn-per-diem-pagosa-springs-co,24.09,qmap
Palisade,qmap-prn-per-diem-palisade-co,24.09,qmap
Paonia,qmap-prn-per-diem-paonia-co,24.09,qmap
Parachute,qmap-prn-per-diem-parachute-co,24.09,qmap
Parker CO,qmap-prn-per-diem-parker-co,24.09,qmap
Peyton,qmap-prn-per-diem-peyton-co,24.09,qmap
Pueblo,qmap-prn-per-diem-pueblo-co,24.09,qmap
Pueblo West,qmap-prn-per-diem-pueblo-west-co,24.09,qmap
Rangely,qmap-prn-per-diem-rangely-co,24.56,qmap
Richfield,qmap-prn-per-diem-richfield-ut,19.68,qmap
Rifle,qmap-prn-per-diem-rifle-co,24.56,qmap
Rocky Ford,qmap-prn-per-diem-rocky-ford-co,24.56,qmap
Salida,qmap-prn-per-diem-salida-co,24.56,qmap
Sanford CO,qmap-prn-per-diem-sanford-co,24.56,qmap
Security-Widefield,qmap-prn-per-diem-security-widefield-co,26.32,qmap
Silverthorne,qmap-prn-per-diem-silverthorne-co,24.56,qmap
Simla,qmap-prn-per-diem-simla-co,24.56,qmap
Springfield CO,qmap-prn-per-diem-springfield-co,24.56,qmap
Steamboat Springs,qmap-prn-per-diem-steamboat-springs-co,24.56,qmap
Sterling CO,qmap-prn-per-diem-sterling-co,24.56,qmap
Strasburg,qmap-prn-per-diem-strasburg-co,24.97,qmap
Stratton,qmap-prn-per-diem-stratton-co,24.97,qmap
Telluride,qmap-prn-per-diem-telluride-co,24.97,qmap
Thornton,qmap-prn-per-diem-thornton-co,24.97,qmap
Trinidad,qmap-prn-per-diem-trinidad-co,24.97,qmap
Vail CO,qmap-prn-per-diem-vail-co,24.97,qmap
Walden,qmap-prn-per-diem-walden-co,24.97,qmap
Walsenburg,qmap-prn-per-diem-walsenburg-co,24.97,qmap
Walsh,qmap-prn-per-diem-walsh-co,24.97,qmap
Watkins,qmap-prn-per-diem-watkins-co,25.12,qmap
Westcliffe,qmap-prn-per-diem-westcliffe-co,25.12,qmap
Westminster,qmap-prn-per-diem-westminster-co,25.12,qmap
Wheat Ridge,qmap-prn-per-diem-wheat-ridge-co,25.12,qmap
Wiggins,qmap-prn-per-diem-wiggins-co,25.12,qmap
Wiley,qmap-prn-per-diem-wiley-co,25.12,qmap
Windsor CO,qmap-prn-per-diem-windsor-co,25.12,qmap
Winter Park CO,qmap-prn-per-diem-winter-park-co,25.12,qmap
Woodland Park,qmap-prn-per-diem-woodland-park-co,26.22,qmap
Wray,qmap-prn-per-diem-wray-co,26.22,qmap
Yuma CO,qmap-prn-per-diem-yuma-co,26.22,qmap
