name,slug,pay,license
Absecon,per-diem-absecon-nj,54.95,rn er
Akron,per-diem-akron-oh,51.78,rn er
Alabaster,per-diem-alabaster-al,49.58,rn er
Alafaya,per-diem-alafaya-fl,48.75,rn er
Alamo,per-diem-alamo-tx,50.98,rn er
Albany GA,per-diem-albany-ga,52.92,rn er
Albertville,per-diem-albertville-al,49.95,rn er
Aledo TX,per-diem-aledo-tx,51.11,rn er
Alhambra,per-diem-alhambra-ca,50.98,rn er
Allen,per-diem-allen-tx,51.78,rn er
Allentown,per-diem-allentown-pa,50.73,rn er
Alliance,per-diem-alliance-oh,52.43,rn er
Alvin,per-diem-alvin-tx,51.45,rn er
Ames,per-diem-ames-ia,50.98,rn er
Anchorage,per-diem-anchorage-ak,51.45,rn er
Anderson,per-diem-anderson-sc,50.66,rn er
Andover,per-diem-andover-mn,50.67,rn er
Anita,per-diem-anita-ia,54.11,rn er
Ankeny,per-diem-ankeny-ia,53.67,rn er
Annapolis MD,per-diem-annapolis-md,50.98,rn er
Apex,per-diem-apex-nc,54.92,rn er
Apple Valley,per-diem-apple-valley-mn,49.98,rn er
Arcadia,per-diem-arcadia-fl,54.98,rn er
Ardmore,per-diem-ardmore-ok,49.57,rn er
Arlington,per-diem-arlington-tx,51.78,rn er
Ashland,per-diem-ashland-ky,51.31,rn er
Ashland City,per-diem-ashland-city-tn,54.78,rn er
Atlanta,per-diem-atlanta-tx,51.78,rn er
Atlanta GA,per-diem-atlanta-ga,52.82,rn er
Atlantic Beach,per-diem-atlantic-beach-fl,50.98,rn er
Atlantic City,per-diem-atlantic-city-nj,53.87,rn er
Attalla,per-diem-attalla-al,51.45,rn er
Auburn,per-diem-auburn-me,51.95,rn er
Augusta,per-diem-augusta-ga,52.89,rn er
Aurora,per-diem-aurora-co,54.98,rn er
Aurora,per-diem-aurora-il,54.98,rn er
Austin TX,per-diem-austin-tx,51.78,rn er
Avalon,per-diem-avalon-ca,51.45,rn er
Avon Lake,per-diem-avon-lake-oh,53.26,rn er
Bailey,per-diem-bailey-co,51.11,rn er
Baltimore,per-diem-baltimore-md-14696,52.87,rn er
Baltimore MD,per-diem-baltimore-md,50.98,rn er
Bangor,per-diem-bangor-me,51.45,rn er
Barberton,per-diem-barberton-oh,53.57,rn er
Bartlesville,per-diem-bartlesville-ok,48.89,rn er
Bartow,per-diem-bartow-fl,54.98,rn er
Baton Rouge,per-diem-baton-rouge-la,51.45,rn er
Bay Harbor Islands,per-diem-bay-harbor-islands-fl,51.78,rn er
Bear,per-diem-bear-de,54.66,rn er
Beckley,per-diem-beckley-wv,48.65,rn er
Bedias,per-diem-bedias-tx,51.11,rn er
Bel Air South,per-diem-bel-air-south-md,52.98,rn er
Bell,per-diem-bell-ca,51.81,rn er
Bellevue WA,per-diem-bellevue-wa,50.98,rn er
Bend,per-diem-bend-or,51.11,rn er
Bensalem,per-diem-bensalem-pa,51.31,rn er
Benton,per-diem-benton-ar,51.87,rn er
Bethel Park,per-diem-bethel-park-pa,50.66,rn er
Billings MT,per-diem-billings-mt,51.45,rn er
Biloxi,per-diem-biloxi-ms,50.73,rn er
Birmingham,per-diem-birmingham-al,50.98,rn er
Bixby,per-diem-bixby-ok,48.98,rn er
Bloomington,per-diem-bloomington-mn,49.43,rn er
Boise ID,per-diem-boise-id,51.11,rn er
Borger,per-diem-borger-tx,51.45,rn er
Boston,per-diem-boston-ma,50.98,rn er
Bountiful,per-diem-bountiful-ut,51.11,rn er
Bowie,per-diem-bowie-md,52.92,rn er
Bowling Green,per-diem-bowling-green-ky,51.45,rn er
Bowling Green,per-diem-bowling-green-oh,53.67,rn er
Bozeman MT,per-diem-bozeman-mt,50.98,rn er
Brandon,per-diem-brandon-fl,50.98,rn er
Brandon,per-diem-brandon-ms,51.57,rn er
Bremerton,per-diem-bremerton-wa,48.87,rn er
Brentwood,per-diem-brentwood-tn,51.65,rn er
Bridgeport,per-diem-bridgeport-ct,53.57,rn er
Brighton CO,per-diem-brighton-co,54.98,rn er
Broken Arrow,per-diem-broken-arrow-ok,51.45,rn er
Brookhaven,per-diem-brookhaven-ga,52.78,rn er
Brooklyn Center,per-diem-brooklyn-center-mn,50.65,rn er
Brooklyn Park,per-diem-brooklyn-park-mn,49.33,rn er
Brunswick,per-diem-brunswick-me,51.98,rn er
Bryn Athyn Huntingdon Valley,per-diem-bryn-athyn-huntingdon-valley-pa,54.89,rn er
Buenaventura Lakes,per-diem-buenaventura-lakes-fl,54.98,rn er
Buffalo,per-diem-buffalo-ny,53.43,rn er
Bunnell,per-diem-bunnell-fl,50.98,rn er
Burien,per-diem-burien-wa,48.66,rn er
Burke,per-diem-burke-va,54.67,rn er
Burns,per-diem-burns-or,51.45,rn er
Butte MT,per-diem-butte-mt,51.78,rn er
Butte-Silver Bow,per-diem-butte-silver-bow-mt,51.58,rn er
Cabot,per-diem-cabot-ar,51.69,rn er
Calhan,per-diem-calhan-co,51.45,rn er
Camas,per-diem-camas-wa,51.78,rn er
Canton GA,per-diem-canton-ga,52.69,rn er
Canton TX,per-diem-canton-tx,51.45,rn er
Carmel,per-diem-carmel-in,51.45,rn er
Carolina Forest,per-diem-carolina-forest-sc,50.58,rn er
Carrollwood,per-diem-carrollwood-fl,51.45,rn er
Cary,per-diem-cary-nc,54.67,rn er
Castle Rock,per-diem-castle-rock-co,51.78,rn er
Cedar Rapids,per-diem-cedar-rapids-ia,51.11,rn er
Celina,per-diem-celina-tx,50.98,rn er
Centreville,per-diem-centreville-va,54.87,rn er
Champaign,per-diem-champaign-il,48.87,rn er
Chandler,per-diem-chandler-az,51.45,rn er
Chapel Hill,per-diem-chapel-hill-nc,54.98,rn er
Charleston,per-diem-charleston-sc,51.11,rn er
Charleston,per-diem-charleston-wv,48.33,rn er
Charlotte Elizabeth,per-diem-charlotte-elizabeth-nc,53.65,rn er
Charlotte Myers Park,per-diem-charlotte-myers-park-nc,53.73,rn er
Charlotte NC,per-diem-charlotte-nc,50.98,rn er
Charlotte Sherwood Forest,per-diem-charlotte-sherwood-forest-nc,53.69,rn er
Chattanooga,per-diem-chattanooga-tn,51.78,rn er
Cherry Hill,per-diem-cherry-hill-nj,51.45,rn er
Chesapeake,per-diem-chesapeake-va,53.89,rn er
Chester City,per-diem-chester-city-pa,50.31,rn er
Chesterville,per-diem-chesterville-oh,54.58,rn er
Chicago IL,per-diem-chicago-il,51.11,rn er
Chicago Ridge,per-diem-chicago-ridge-il,51.79,rn er
Chico,per-diem-chico-ca,50.98,rn er
Chula Vista,per-diem-chula-vista-ca,52.31,rn er
Cicero,per-diem-cicero-il,48.43,rn er
Cisco,per-diem-cisco-tx,51.45,rn er
Clark,per-diem-clark-nj,52.67,rn er
Clarksburg,per-diem-clarksburg-wv,48.67,rn er
Clarksville,per-diem-clarksville-tn,51.26,rn er
Cleveland,per-diem-cleveland-tn,51.33,rn er
