name,slug,pay,license
Addison,per-diem-addison-tx,50.98,rn icu
Akron,per-diem-akron-oh,51.78,rn icu
Albany,per-diem-albany-ny,53.82,rn icu
Alhambra,per-diem-alhambra-ca,50.98,rn icu
Allentown,per-diem-allentown-pa,50.73,rn icu
Alpharetta,per-diem-alpharetta-ga,52.95,rn icu
Altamonte Springs,per-diem-altamonte-springs-fl,50.98,rn icu
Alvin,per-diem-alvin-tx,51.45,rn icu
Amarillo,per-diem-amarillo-tx,51.45,rn icu
Anchorage,per-diem-anchorage-ak,51.45,rn icu
Apache Junction,per-diem-apache-junction-az,50.98,rn icu
Apple Valley,per-diem-apple-valley-mn,49.98,rn icu
Arizona City,per-diem-arizona-city-az,51.45,rn icu
Arlington Heights,per-diem-arlington-heights-il,48.11,rn icu
Arlington VA,per-diem-arlington-va,51.78,rn icu
Ashland City,per-diem-ashland-city-tn,48.11,rn icu
Athens,per-diem-athens-al,49.78,rn icu
Atlanta GA,per-diem-atlanta-ga,52.82,rn icu
Auburn,per-diem-auburn-me,51.95,rn icu
Auburndale,per-diem-auburndale-fl,51.01,rn icu
Augusta,per-diem-augusta-ga,52.89,rn icu
Aurora,per-diem-aurora-co,54.98,rn icu
Aurora,per-diem-aurora-il,54.98,rn icu
Austin,per-diem-austin-tx,51.78,rn icu
Austintown,per-diem-austintown-oh,53.78,rn icu
Babylon town,per-diem-babylon-town-ny,53.33,rn icu
Balch Springs,per-diem-balch-springs-tx,50.98,rn icu
Baltimore MD,per-diem-baltimore-md,50.98,rn icu
Bandera,per-diem-bandera-tx,50.98,rn icu
Bangor,per-diem-bangor-me,51.45,rn icu
Bartlett,per-diem-bartlett-tn,51.87,rn icu
Basking Ridge,per-diem-basking-ridge-nj,51.45,rn icu
Baton Rouge,per-diem-baton-rouge-la,51.45,rn icu
Bay Harbor Islands,per-diem-bay-harbor-islands-fl,51.78,rn icu
Bel Air South,per-diem-bel-air-south-md,52.98,rn icu
Belfast,per-diem-belfast-me,51.11,rn icu
Bella Vista,per-diem-bella-vista-ar,51.58,rn icu
