name,slug,pay,license
Abernathy,per-diem-abernathy-tx,54.98,rn med surg
Affton,per-diem-affton-mo,48.65,rn med surg
Aiken,per-diem-aiken-sc,51.78,rn med surg
Akron,per-diem-akron-oh,51.78,rn med surg
Alamosa,per-diem-alamosa-co,51.45,rn med surg
Albia,per-diem-albia-ia,51.11,rn med surg
Albuquerque,per-diem-albuquerque-nm,50.98,rn med surg
Aledo IL,per-diem-aledo-il,51.11,rn med surg
Alexandria LA,per-diem-alexandria-la,50.98,rn med surg
Alexandria VA,per-diem-alexandria-va,51.11,rn med surg
Alhambra,per-diem-alhambra-ca,50.98,rn med surg
Allentown,per-diem-allentown-pa,50.73,rn med surg
Alpharetta,per-diem-alpharetta-ga,52.95,rn med surg
Altoona,per-diem-altoona-pa,50.11,rn med surg
Alvarado,per-diem-alvarado-tx,51.45,rn med surg
Alvin,per-diem-alvin-tx,51.45,rn med surg
Amarillo,per-diem-amarillo-tx,51.45,rn med surg
American Fork,per-diem-american-fork-ut,51.11,rn med surg
Ames,per-diem-ames-ia,50.98,rn med surg
Anchorage,per-diem-anchorage-ak,51.45,rn med surg
Anderson,per-diem-anderson-in,49.67,rn med surg
Andrews,per-diem-andrews-tx,50.98,rn med surg
Ankeny,per-diem-ankeny-ia,53.67,rn med surg
Annapolis MD,per-diem-annapolis-md,50.98,rn med surg
Antonito,per-diem-antonito-co,51.45,rn med surg
Apache Junction,per-diem-apache-junction-az,50.98,rn med surg
Apex,per-diem-apex-nc,54.92,rn med surg
Apple Valley,per-diem-apple-valley-mn,49.98,rn med surg
Arcata,per-diem-arcata-ca,51.45,rn med surg
Arco,per-diem-arco-id,51.78,rn med surg
Arlington,per-diem-arlington-tx,51.78,rn med surg
Arlington Heights,per-diem-arlington-heights-il,48.11,rn med surg
Arlington VA,per-diem-arlington-va,51.78,rn med surg
Arvada,per-diem-arvada-co,51.45,rn med surg
Ashland,per-diem-ashland-ky,51.31,rn med surg
Aspen,per-diem-aspen-co,50.98,rn med surg
Astoria OR,per-diem-astoria-or,50.98,rn med surg
Athens,per-diem-athens-oh,52.11,rn med surg
Atlanta GA,per-diem-atlanta-ga,52.82,rn med surg
Atlantic Beach,per-diem-atlantic-beach-fl,50.98,rn med surg
Atlantic City,per-diem-atlantic-city-nj,53.87,rn med surg
Aubrey,per-diem-aubrey-tx,51.45,rn med surg
Auburn,per-diem-auburn-me,51.95,rn med surg
Auburn IN,per-diem-auburn-in,50.98,rn med surg
Auburn WA,per-diem-auburn-wa,51.78,rn med surg
Auburndale,per-diem-auburndale-fl,51.01,rn med surg
Augusta,per-diem-augusta-ga,52.89,rn med surg
Aurora,per-diem-aurora-co,54.98,rn med surg
Aurora,per-diem-aurora-il,54.98,rn med surg
Austin,per-diem-austin-tx,51.78,rn med surg
Ave Maria,per-diem-ave-maria-fl,50.98,rn med surg
Avon CO,per-diem-avon-co,51.45,rn med surg
Avon CT,per-diem-avon-ct,51.78,rn med surg
Avon Lake,per-diem-avon-lake-oh,53.26,rn med surg
Avon Park,per-diem-avon-park-fl,51.11,rn med surg
Babylon town,per-diem-babylon-town-ny,53.33,rn med surg
Baker,per-diem-baker-wv,51.11,rn med surg
Ballinger,per-diem-ballinger-tx,51.11,rn med surg
Baltimore MD,per-diem-baltimore-md,50.98,rn med surg
Bangor,per-diem-bangor-me,51.45,rn med surg
Barnsdall,per-diem-barnsdall-ok,51.78,rn med surg
Bartlesville,per-diem-bartlesville-ok,48.89,rn med surg
Bartlett,per-diem-bartlett-tn,51.87,rn med surg
Bartow,per-diem-bartow-fl,54.98,rn med surg
Bastrop,per-diem-bastrop-tx,50.98,rn med surg
Baton Rouge,per-diem-baton-rouge-la,51.45,rn med surg
Beaumont,per-diem-beaumont-tx,51.11,rn med surg
Beaver,per-diem-beaver-ut,51.11,rn med surg
Bedford TX,per-diem-bedford-tx,50.98,rn med surg
Bedias,per-diem-bedias-tx,51.11,rn med surg
Beeville,per-diem-beeville-tx,50.98,rn med surg
Bel Air South,per-diem-bel-air-south-md,52.98,rn med surg
Bella Vista,per-diem-bella-vista-ar,51.58,rn med surg
Belle Glade,per-diem-belle-glade-fl,50.98,rn med surg
Belle Plaine,per-diem-belle-plaine-ia,51.78,rn med surg
Belleview,per-diem-belleview-fl,51.01,rn med surg
Belleville,per-diem-belleville-il-4ef76,51.11,rn med surg
Belleville,per-diem-belleville-ks,54.98,rn med surg
Bellevue WA,per-diem-bellevue-wa,50.98,rn med surg
Bellflower,per-diem-bellflower-ca,51.78,rn med surg
Belton TX,per-diem-belton-tx,51.45,rn med surg
Bend,per-diem-bend-or,51.11,rn med surg
Bensalem,per-diem-bensalem-pa,51.31,rn med surg
Benson,per-diem-benson-az,55.98,rn med surg
Berryville,per-diem-berryville-va,51.11,rn med surg
Berwyn,per-diem-berwyn-il,48.73,rn med surg
Bethel Park,per-diem-bethel-park-pa,50.66,rn med surg
Bethesda MD,per-diem-bethesda-md,51.11,rn med surg
Bettendorf IA,per-diem-bettendorf-ia,50.98,rn med surg
Beverly Hills,per-diem-beverly-hills-fl,50.98,rn med surg
