name,slug,pay,license
Aberdeen ID,per-diem-aberdeen-id,50.14,rn tele
Abernathy,per-diem-abernathy-tx,48.07,rn tele
Affton,per-diem-affton-mo,48.65,rn tele
Aiken,per-diem-aiken-sc,50.79,rn tele
Alamosa,per-diem-alamosa-co,45.65,rn tele
Albia,per-diem-albia-ia,51.54,rn tele
Albuquerque,per-diem-albuquerque-nm,51.25,rn tele
Aledo IL,per-diem-aledo-il,52.41,rn tele
Alexandria LA,per-diem-alexandria-la,48.07,rn tele
Alexandria VA,per-diem-alexandria-va,47.87,rn tele
Alhambra,per-diem-alhambra-ca,46.38,rn tele
Allentown,per-diem-allentown-pa,50.73,rn tele
Alpharetta,per-diem-alpharetta-ga,52.95,rn tele
Altoona,per-diem-altoona-pa,50.11,rn tele
Alvarado,per-diem-alvarado-tx,51.25,rn tele
Alvin,per-diem-alvin-tx,54.17,rn tele
Amarillo,per-diem-amarillo-tx,48.07,rn tele
American Fork,per-diem-american-fork-ut,52.41,rn tele
Ames,per-diem-ames-ia,50.79,rn tele
Anderson,per-diem-anderson-in,49.67,rn tele
Andrews,per-diem-andrews-tx,51.62,rn tele
Ankeny,per-diem-ankeny-ia,53.67,rn tele
Annapolis,per-diem-annapolis-md-56177,53.65,rn tele
Annapolis MD,per-diem-annapolis-md,53.59,rn tele
Antonito,per-diem-antonito-co,51.62,rn tele
Apache Junction AZ,per-diem-apache-junction-az,53.72,rn tele
Apex,per-diem-apex-nc,54.92,rn tele
Apple Valley,per-diem-apple-valley-mn,49.98,rn tele
Arcata,per-diem-arcata-ca,50.59,rn tele
Arco,per-diem-arco-id,50.07,rn tele
Arlington,per-diem-arlington-tx,51.78,rn tele
Arlington Heights,per-diem-arlington-heights-il,48.11,rn tele
Arlington VA,per-diem-arlington-va,53.59,rn tele
Arvada,per-diem-arvada-co,46.73,rn tele
Ashland,per-diem-ashland-ky,51.31,rn tele
Aspen CO,per-diem-aspen-co,53.51,rn tele
Astoria OR,per-diem-astoria-or,46.68,rn tele
Athens,per-diem-athens-oh,52.11,rn tele
Atlanta Buckhead,per-diem-atlanta-buckhead-ga-d9e69,48.69,rn tele
Atlantic Beach,per-diem-atlantic-beach-fl,51.62,rn tele
Atlantic City,per-diem-atlantic-city-nj,53.87,rn tele
Aubrey,per-diem-aubrey-tx,53.59,rn tele
Auburn IN,per-diem-auburn-in,46.93,rn tele
Auburn WA,per-diem-auburn-wa,51.62,rn tele
Auburndale,per-diem-auburndale-fl,54.04,rn tele
Austin,per-diem-austin-tx,51.78,rn tele
Ave Maria,per-diem-ave-maria-fl,48.06,rn tele
Avon CO,per-diem-avon-co,53.59,rn tele
Avon CT,per-diem-avon-ct,53.59,rn tele
Avon Lake,per-diem-avon-lake-oh,53.26,rn tele
Avon Park,per-diem-avon-park-fl,53.59,rn tele
Babylon town,per-diem-babylon-town-ny,53.33,rn tele
Baker,per-diem-baker-wv,53.51,rn tele
Ballinger,per-diem-ballinger-tx,53.57,rn tele
Baltimore,per-diem-baltimore-md-3fa6b,52.87,rn tele
Barnsdall,per-diem-barnsdall-ok,48.93,rn tele
Bartlesville,per-diem-bartlesville-ok,48.89,rn tele
Bartlett,per-diem-bartlett-tn,51.87,rn tele
Bartow,per-diem-bartow-fl,50.98,rn tele
Bastrop,per-diem-bastrop-tx,51.62,rn tele
Baton Rouge,per-diem-baton-rouge-la,53.59,rn tele
Beaumont,per-diem-beaumont-tx,48.07,rn tele
Beaver,per-diem-beaver-ut,51.54,rn tele
Bedford TX,per-diem-bedford-tx,54.11,rn tele
Bedias,per-diem-bedias-tx,53.59,rn tele
Beeville,per-diem-beeville-tx,53.59,rn tele
Bel Air South,per-diem-bel-air-south-md,52.98,rn tele
Bella Vista,per-diem-bella-vista-ar,51.58,rn tele
Belle Glade,per-diem-belle-glade-fl,45.93,rn tele
Belle Plaine,per-diem-belle-plaine-ia,53.74,rn tele
Belleview,per-diem-belleview-fl,51.62,rn tele
Belleville,per-diem-belleville-il-4ef76,53.57,rn tele
Belleville KS,per-diem-belleville-ks,48.07,rn tele
Bellflower,per-diem-bellflower-ca,53.55,rn tele
Belton TX,per-diem-belton-tx,46.93,rn tele
Bend,per-diem-bend-or,47.82,rn tele
Bensalem,per-diem-bensalem-pa,51.31,rn tele
Benson,per-diem-benson-az,44.21,rn tele
Berryville,per-diem-berryville-va,51.62,rn tele
Berwyn,per-diem-berwyn-il,48.73,rn tele
Bethel Park,per-diem-bethel-park-pa,50.66,rn tele
Bethesda,per-diem-bethesda-md-28e8c,52.89,rn tele
Bethesda MD,per-diem-bethesda-md,45.93,rn tele
Bettendorf IA,per-diem-bettendorf-ia,46.93,rn tele
Beverly Hills,per-diem-beverly-hills-fl,51.62,rn tele
Bicknell,per-diem-bicknell-in-4ec7e,44.21,rn tele
Big Spring,per-diem-big-spring-tx,49.41,rn tele
Billings MT,per-diem-billings-mt,53.59,rn tele
Biloxi,per-diem-biloxi-ms,50.73,rn tele
Bisbee,per-diem-bisbee-az,51.62,rn tele
Bishopville,per-diem-bishopville-sc,48.06,rn tele
Blackfoot ID,per-diem-blackfoot-id,48.93,rn tele
Bloomfield,per-diem-bloomfield-ct,48.07,rn tele
Bloomington,per-diem-bloomington-il,48.58,rn tele
Bloomington,per-diem-bloomington-in,49.75,rn tele
Bloomington,per-diem-bloomington-mn,49.43,rn tele
Bloomsburg,per-diem-bloomsburg-pa,51.54,rn tele
Blowing Rock,per-diem-blowing-rock-nc,53.59,rn tele
Boca Raton,per-diem-boca-raton-fl,47.16,rn tele
Bolingbrook,per-diem-bolingbrook-il,54.75,rn tele
Bonham,per-diem-bonham-tx,53.51,rn tele
Bonners Ferry,per-diem-bonners-ferry-id,51.62,rn tele
Boone NC,per-diem-boone-nc,44.21,rn tele
Bossier City,per-diem-bossier-city-la,46.73,rn tele
Boston,per-diem-boston-ma,46.73,rn tele
Bothell,per-diem-bothell-wa,48.75,rn tele
Boulder City,per-diem-boulder-city-nv,46.73,rn tele
Bourbon MO,per-diem-bourbon-mo,51.62,rn tele
Bowie,per-diem-bowie-md,52.92,rn tele
Bowling Green,per-diem-bowling-green-ky,50.98,rn tele
Boynton Beach,per-diem-boynton-beach-fl,53.59,rn tele
Brackenridge,per-diem-brackenridge-pa-68f76,48.65,rn tele
Brackettville,per-diem-brackettville-tx,49.41,rn tele
Brandon,per-diem-brandon-fl,50.79,rn tele
Branford,per-diem-branford-fl,43.69,rn tele
Breckenridge CO,per-diem-breckenridge-co,53.57,rn tele
Bremerton,per-diem-bremerton-wa,48.87,rn tele
Brenham,per-diem-brenham-tx,51.54,rn tele
Bridgeport,per-diem-bridgeport-ct,53.57,rn tele
Bridgewater NJ,per-diem-bridgewater-nj,50.07,rn tele
Brighton CO,per-diem-brighton-co,54.98,rn tele
Bristol FL,per-diem-bristol-fl,46.73,rn tele
Broken Arrow,per-diem-broken-arrow-ok,50.98,rn tele
Brookhaven,per-diem-brookhaven-ga,52.78,rn tele
Brookings OR,per-diem-brookings-or,48.06,rn tele
Brooklyn Center,per-diem-brooklyn-center-mn,50.65,rn tele
Brunswick,per-diem-brunswick-me,51.98,rn tele
Brunswick,per-diem-brunswick-mo,49.98,rn tele
Bryan,per-diem-bryan-tx,46.93,rn tele
Bryant,per-diem-bryant-ar,51.82,rn tele
Bryn Athyn Huntingdon Valley,per-diem-bryn-athyn-huntingdon-valley-pa,50.57,rn tele
Buckeye,per-diem-buckeye-az,49.41,rn tele
Buena Ventura Lakes,per-diem-buena-ventura-lakes-fl,47.82,rn tele
Buena Vista,per-diem-buena-vista-co,44.21,rn tele
Buffalo,per-diem-buffalo-ny,53.43,rn tele
Bullhead City,per-diem-bullhead-city-az,46.68,rn tele
Burbank IL,per-diem-burbank-il,54.75,rn tele
Burkburnett,per-diem-burkburnett-tx,46.93,rn tele
Burleson,per-diem-burleson-tx,48.06,rn tele
Burley ID,per-diem-burley-id,53.51,rn tele
Cabot,per-diem-cabot-ar,51.69,rn tele
Camas WA,per-diem-camas-wa,48.07,rn tele
Camp Hill PA,per-diem-camp-hill-pa,46.93,rn tele
Campbell,per-diem-campbell-ca,46.76,rn tele
Canby,per-diem-canby-or,46.73,rn tele
Canon City CO,per-diem-canon-city-co,51.62,rn tele
Canton,per-diem-canton-oh,48.58,rn tele
Canton IL,per-diem-canton-il,45.97,rn tele
Canton TX,per-diem-canton-tx,50.07,rn tele
Cantonment,per-diem-cantonment-fl,48.93,rn tele
Canutillo,per-diem-canutillo-tx,46.68,rn tele
Canyon,per-diem-canyon-tx,47.31,rn tele
Cape Coral FL,per-diem-cape-coral-fl,47.82,rn tele
Cape May,per-diem-cape-may-nj,50.43,rn tele
Carefree,per-diem-carefree-az,51.62,rn tele
Caribou,per-diem-caribou-me,51.62,rn tele
Carmel,per-diem-carmel-in,53.57,rn tele
Carnegie,per-diem-carnegie-ok,48.07,rn tele
Carrabelle,per-diem-carrabelle-fl,46.73,rn tele
Carroll,per-diem-carroll-ia,53.55,rn tele
Carrollton,per-diem-carrollton-tx,52.01,rn tele
Carson City,per-diem-carson-city-nv,47.16,rn tele
Carthage,per-diem-carthage-3-tx,46.73,rn tele
Casa Grande,per-diem-casa-grande-az,53.59,rn tele
Castle Dale,per-diem-castle-dale-ut,48.06,rn tele
Castle Pines,per-diem-castle-pines-co,49.41,rn tele
Castroville,per-diem-castroville-tx,51.62,rn tele
Catonsville,per-diem-catonsville-md-3532f,53.58,rn tele
Cedar City,per-diem-cedar-city-ut,44.21,rn tele
Celebration,per-diem-celebration-fl,45.93,rn tele
Celina,per-diem-celina-tx,53.74,rn tele
Centennial CO,per-diem-centennial-co,48.06,rn tele
Centerville OH,per-diem-centerville-oh,52.89,rn tele
Century,per-diem-century-fl,46.93,rn tele
Champaign,per-diem-champaign-il,48.87,rn tele
Chandler,per-diem-chandler-az,53.59,rn tele
Chapel Hill,per-diem-chapel-hill-nc,54.98,rn tele
Charleston,per-diem-charleston-sc,52.01,rn tele
Charlotte NC,per-diem-charlotte-nc,46.76,rn tele
Charlotte Plaza-Shamrock,per-diem-charlotte-plaza-shamrock-nc,53.67,rn tele
Charlottesville,per-diem-charlottesville-va,54.11,rn tele
Chatsworth,per-diem-chatsworth-ga,47.16,rn tele
Chattahoochee,per-diem-chattahoochee-fl,46.73,rn tele
Cheektowaga,per-diem-cheektowaga-ny,53.95,rn tele
Cherokee,per-diem-cherokee-ia,51.62,rn tele
Cherry Hill NJ,per-diem-cherry-hill-nj,47.82,rn tele
Chesapeake,per-diem-chesapeake-va,53.89,rn tele
Chester City,per-diem-chester-city-pa,50.31,rn tele
Chesterfield,per-diem-chesterfield-mo,49.69,rn tele
Chestnut Ridge,per-diem-chestnut-ridge-nj,48.07,rn tele
Chicago Heights IL,per-diem-chicago-heights-il,46.93,rn tele
Chicago Portage Park,per-diem-chicago-portage-park-il,48.06,rn tele
Chicago Ridge,per-diem-chicago-ridge-il,48.06,rn tele
"Chicago, IL",per-diem-chicago-il,54.75,rn tele
Chico,per-diem-chico-ca,47.82,rn tele
Chiefland,per-diem-chiefland-fl,44.21,rn tele
Childress,per-diem-childress-tx,50.14,rn tele
Chillicothe OH,per-diem-chillicothe-oh,53.57,rn tele
Chiloquin,per-diem-chiloquin-or,52.41,rn tele
Chipley,per-diem-chipley-fl,43.69,rn tele
Chula Vista,per-diem-chula-vista-ca,52.31,rn tele
Cicero,per-diem-cicero-il,48.43,rn tele
Cincinnati OH,per-diem-cincinnati-oh,51.54,rn tele
Clarendon,per-diem-clarendon-tx,53.57,rn tele
Clatskanie,per-diem-clatskanie-or,48.06,rn tele
Clearfield,per-diem-clearfield-ut,46.76,rn tele
Clearwater,per-diem-clearwater-fl,46.73,rn tele
Clermont FL,per-diem-clermont-fl,49.41,rn tele
Cleveland,per-diem-cleveland-tn,51.33,rn tele
Clewiston,per-diem-clewiston-fl,50.98,rn tele
Clifton Forge,per-diem-clifton-forge-va,47.82,rn tele
Clifton NJ,per-diem-clifton-nj,44.21,rn tele
Clifton TX,per-diem-clifton-tx,53.59,rn tele
Clinton,per-diem-clinton-md-bd4b7,53.69,rn tele
Clinton OH,per-diem-clinton-oh,46.93,rn tele
Clyde,per-diem-clyde-tx,53.57,rn tele
Cocoa Beach,per-diem-cocoa-beach-fl,53.59,rn tele
Coconut Creek,per-diem-coconut-creek-fl,53.59,rn tele
College Station,per-diem-college-station-tx,47.82,rn tele
Colleyville,per-diem-colleyville-tx,44.21,rn tele
Collierville,per-diem-collierville-tn,51.58,rn tele
Collinsville,per-diem-collinsville-tx,48.06,rn tele
Colorado Springs,per-diem-colorado-springs-co,46.76,rn tele
Colton,per-diem-colton-ca,47.16,rn tele
Columbia,per-diem-columbia-md,52.43,rn tele
Columbia Midtown - Downtown,per-diem-columbia-midtown-downtown-sc,46.73,rn tele
Columbia MO,per-diem-columbia-mo,53.59,rn tele
Columbus GA,per-diem-columbus-ga,52.65,rn tele
Columbus OH,per-diem-columbus-oh,50.07,rn tele
Columbus TX,per-diem-columbus-tx,48.93,rn tele
Comanche,per-diem-comanche-tx,51.62,rn tele
Commerce,per-diem-commerce-tx,49.41,rn tele
Concord,per-diem-concord-nc,54.73,rn tele
Congress,per-diem-congress-az,51.62,rn tele
Conroe,per-diem-conroe-tx,51.62,rn tele
Coon Rapids,per-diem-coon-rapids-mn,49.95,rn tele
Cooper City,per-diem-cooper-city-fl,46.73,rn tele
Copperas Cove,per-diem-copperas-cove-tx,47.82,rn tele
Coralville,per-diem-coralville-ia,53.57,rn tele
Cornelius,per-diem-cornelius-nc,51.54,rn tele
Corpus Christi,per-diem-corpus-christi-tx,45.97,rn tele
Corrigan,per-diem-corrigan-tx,50.07,rn tele
Corsicana,per-diem-corsicana-tx,48.93,rn tele
Cortez,per-diem-cortez-co,49.41,rn tele
Coshocton,per-diem-coshocton-nd,45.93,rn tele
Cotulla,per-diem-cotulla-tx,53.51,rn tele
