name,slug,pay,license
700 Smith St,registered-nurse-per-diem-prn-700-smith-st-ri,53.49,rn
Aberdeen ID,registered-nurse-per-diem-prn-aberdeen-id,50.04,rn
Aberdeen SD,registered-nurse-per-diem-prn-aberdeen-sd,53.93,rn
Aberdeen WA,registered-nurse-per-diem-prn-aberdeen-wa,53.93,rn
Abernathy,registered-nurse-per-diem-prn-abernathy-tx,50.04,rn
Abilene,registered-nurse-per-diem-prn-abilene-tx,50.04,rn
Abingdon,registered-nurse-per-diem-prn-abingdon-va,50.04,rn
Abington,registered-nurse-per-diem-prn-abington-pa,50.95,rn
Absecon,registered-nurse-per-diem-prn-absecon-nj,49.69,rn
Addison TX,registered-nurse-per-diem-prn-addison-tx,50.04,rn
Affton,registered-nurse-per-diem-prn-affton-mo,48.65,rn
Aiken SC,registered-nurse-per-diem-prn-aiken-sc,50.04,rn
Ajo,registered-nurse-per-diem-prn-ajo-az,74.46,rn
Akron CO,registered-nurse-per-diem-prn-akron-co,50.04,rn
Akron OH,registered-nurse-per-diem-prn-akron-oh,53.49,rn
Alabaster,registered-nurse-per-diem-prn-alabaster-al,49.58,rn
Alachua,registered-nurse-per-diem-prn-alachua-fl,50.04,rn
Alafaya,registered-nurse-per-diem-prn-alafaya-fl,48.75,rn
Alamo,registered-nurse-per-diem-prn-alamo-tx,50.04,rn
Alamogordo,registered-nurse-per-diem-prn-alamogordo-nm,52.98,rn
Alamosa,registered-nurse-per-diem-prn-alamosa-co,50.04,rn
Albany,registered-nurse-per-diem-prn-albany-ny,53.82,rn
Albany GA,registered-nurse-per-diem-prn-albany-ga,52.92,rn
Albany OR,registered-nurse-per-diem-prn-albany-or,53.93,rn
Albany TX,registered-nurse-per-diem-prn-albany-tx,50.04,rn
Albertville,registered-nurse-per-diem-prn-albertville-al,49.95,rn
Albia IA,registered-nurse-per-diem-prn-albia-ia,50.04,rn
Albion,registered-nurse-per-diem-prn-albion-mi,50.04,rn
Albuquerque,registered-nurse-per-diem-prn-albuquerque-nm,58.38,rn
Aledo IL,registered-nurse-per-diem-prn-aledo-il,53.93,rn
Aledo TX,registered-nurse-per-diem-prn-aledo-tx,50.04,rn
Alexander City,registered-nurse-per-diem-prn-alexander-city-al,50.04,rn
Alexandria LA,registered-nurse-per-diem-prn-alexandria-la,71.34,rn
Alexandria VA,registered-nurse-per-diem-prn-alexandria-va,50.04,rn
Alhambra,registered-nurse-per-diem-prn-alhambra-ca,53.49,rn
Alice,registered-nurse-per-diem-prn-alice-tx,50.04,rn
Allen,registered-nurse-per-diem-prn-allen-tx,50.04,rn
Allentown,registered-nurse-per-diem-prn-allentown-pa,50.73,rn
Alliance,registered-nurse-per-diem-prn-alliance-ne,71.34,rn
Alliance,registered-nurse-per-diem-prn-alliance-oh,52.43,rn
Alma,registered-nurse-per-diem-prn-alma-mi,50.04,rn
