name,slug,pay,license
700 Smith St,respiratory-therapist-per-diem-prn-700-smith-st-ri,48.21,rt
Aberdeen ID,respiratory-therapist-per-diem-prn-aberdeen-id,48.21,rt
Aberdeen SD,respiratory-therapist-per-diem-prn-aberdeen-sd,48.21,rt
Aberdeen WA,respiratory-therapist-per-diem-prn-aberdeen-wa,49.11,rt
Abernathy,respiratory-therapist-per-diem-prn-abernathy-tx,49.11,rt
Abilene,respiratory-therapist-per-diem-prn-abilene-tx,51.98,rt
Abingdon,respiratory-therapist-per-diem-prn-abingdon-va,51.98,rt
Abington,respiratory-therapist-per-diem-prn-abington-pa,50.95,rt
Absecon,respiratory-therapist-per-diem-prn-absecon-nj,49.73,rt
Addison,respiratory-therapist-per-diem-prn-addison-tx,48.33,rt
Affton,respiratory-therapist-per-diem-prn-affton-mo,48.65,rt
Aiken,respiratory-therapist-per-diem-prn-aiken-sc,47.79,rt
Ajo,respiratory-therapist-per-diem-prn-ajo-az,47.79,rt
Akron,respiratory-therapist-per-diem-prn-akron-co,48.74,rt
Akron,respiratory-therapist-per-diem-prn-akron-oh,47.99,rt
Alabaster,respiratory-therapist-per-diem-prn-alabaster-al,49.58,rt
Alachua,respiratory-therapist-per-diem-prn-alachua-fl,48.54,rt
Alafaya,respiratory-therapist-per-diem-prn-alafaya-fl,48.75,rt
Alamo,respiratory-therapist-per-diem-prn-alamo-tx,48.54,rt
Alamogordo,respiratory-therapist-per-diem-prn-alamogordo-nm,52.98,rt
Alamosa,respiratory-therapist-per-diem-prn-alamosa-co,52.59,rt
Albany,respiratory-therapist-per-diem-prn-albany-ny,53.82,rt
Albany GA,respiratory-therapist-per-diem-prn-albany-ga,52.92,rt
Albany OR,respiratory-therapist-per-diem-prn-albany-or,52.67,rt
Albany TX,respiratory-therapist-per-diem-prn-albany-tx,52.67,rt
Albertville,respiratory-therapist-per-diem-prn-albertville-al,49.95,rt
Albia,respiratory-therapist-per-diem-prn-albia-ia,52.67,rt
Albion,respiratory-therapist-per-diem-prn-albion-mi,50.08,rt
Albuquerque,respiratory-therapist-per-diem-prn-albuquerque-nm,50.08,rt
Aledo IL,respiratory-therapist-per-diem-prn-aledo-il,48.33,rt
Aledo TX,respiratory-therapist-per-diem-prn-aledo-tx,51.74,rt
Alexander City,respiratory-therapist-per-diem-prn-alexander-city-al,48.54,rt
Alexandria LA,respiratory-therapist-per-diem-prn-alexandria-la,48.46,rt
Alexandria VA,respiratory-therapist-per-diem-prn-alexandria-va,51.74,rt
Alhambra,respiratory-therapist-per-diem-prn-alhambra-ca,47.79,rt
Alice,respiratory-therapist-per-diem-prn-alice-tx,49.31,rt
Allen,respiratory-therapist-per-diem-prn-allen-tx,46.94,rt
Allentown,respiratory-therapist-per-diem-prn-allentown-pa,50.73,rt
Alliance,respiratory-therapist-per-diem-prn-alliance-ne,48.79,rt
Alliance,respiratory-therapist-per-diem-prn-alliance-oh,52.43,rt
Alma,respiratory-therapist-per-diem-prn-alma-mi,48.74,rt
Aloha,respiratory-therapist-per-diem-prn-aloha-or,49.58,rt
Alpena,respiratory-therapist-per-diem-prn-alpena-mi,48.74,rt
Alpharetta,respiratory-therapist-per-diem-prn-alpharetta-ga,52.95,rt
Alpine,respiratory-therapist-per-diem-prn-alpine-tx,49.71,rt
Alpine,respiratory-therapist-per-diem-prn-alpine-ut,48.46,rt
Alsea,respiratory-therapist-per-diem-prn-alsea-or,51.38,rt
Altamonte Springs,respiratory-therapist-per-diem-prn-altamonte-springs-fl,51.38,rt
Alto,respiratory-therapist-per-diem-prn-alto-tx,51.98,rt
Alton,respiratory-therapist-per-diem-prn-alton-tx,48.54,rt
Altoona,respiratory-therapist-per-diem-prn-altoona-0-wi,49.71,rt
Altoona,respiratory-therapist-per-diem-prn-altoona-fl,47.79,rt
Altoona,respiratory-therapist-per-diem-prn-altoona-pa,50.11,rt
Altoona IA,respiratory-therapist-per-diem-prn-altoona-ia,52.98,rt
Alturas,respiratory-therapist-per-diem-prn-alturas-ca,47.79,rt
Alvarado,respiratory-therapist-per-diem-prn-alvarado-tx,47.79,rt
Alvin,respiratory-therapist-per-diem-prn-alvin-tx,48.21,rt
Alvord,respiratory-therapist-per-diem-prn-alvord-tx,48.21,rt
Amado,respiratory-therapist-per-diem-prn-amado-az,48.21,rt
Amargosa Valley,respiratory-therapist-per-diem-prn-amargosa-valley-nv,51.59,rt
Amarillo,respiratory-therapist-per-diem-prn-amarillo-tx,47.99,rt
American Falls,respiratory-therapist-per-diem-prn-american-falls-id,51.11,rt
American Fork,respiratory-therapist-per-diem-prn-american-fork-ut,51.11,rt
Ames,respiratory-therapist-per-diem-prn-ames-ia,48.54,rt
Amherst,respiratory-therapist-per-diem-prn-amherst-8-va,49.71,rt
Amherst,respiratory-therapist-per-diem-prn-amherst-ny,53.78,rt
Amherst,respiratory-therapist-per-diem-prn-amherst-tx,52.67,rt
Ammon ID,respiratory-therapist-per-diem-prn-ammon-id,51.59,rt
Amsterdam,respiratory-therapist-per-diem-prn-amsterdam-ny,51.59,rt
Anaconda,respiratory-therapist-per-diem-prn-anaconda-mt,46.94,rt
Anacortes,respiratory-therapist-per-diem-prn-anacortes-wa,46.94,rt
Anaheim,respiratory-therapist-per-diem-prn-anaheim-ca,46.94,rt
Anahuac,respiratory-therapist-per-diem-prn-anahuac-tx,47.34,rt
Anchorage,respiratory-therapist-per-diem-prn-anchorage-ak,49.31,rt
Anderson,respiratory-therapist-per-diem-prn-anderson-in,49.67,rt
Anderson,respiratory-therapist-per-diem-prn-anderson-sc,50.66,rt
Andover,respiratory-therapist-per-diem-prn-andover-mn,50.67,rt
Andrews,respiratory-therapist-per-diem-prn-andrews-tx,46.96,rt
Aneta,respiratory-therapist-per-diem-prn-aneta-nd,50.61,rt
Angelus Oaks,respiratory-therapist-per-diem-prn-angelus-oaks-ca,48.54,rt
Angleton,respiratory-therapist-per-diem-prn-angleton-tx,48.54,rt
Anita,respiratory-therapist-per-diem-prn-anita-ia,49.87,rt
Ankeny,respiratory-therapist-per-diem-prn-ankeny-ia,53.67,rt
Ann Arbor,respiratory-therapist-per-diem-prn-ann-arbor-mi,54.95,rt
Annandale,respiratory-therapist-per-diem-prn-annandale-va,52.94,rt
Annapolis,respiratory-therapist-per-diem-prn-annapolis-md-19650,53.65,rt
Annapolis MD,respiratory-therapist-per-diem-prn-annapolis-md,48.79,rt
Anniston,respiratory-therapist-per-diem-prn-anniston-al,50.57,rt
Anson,respiratory-therapist-per-diem-prn-anson-tx,45.79,rt
Anthem,respiratory-therapist-per-diem-prn-anthem-az,51.11,rt
Antigo,respiratory-therapist-per-diem-prn-antigo-wi,52.67,rt
Antonito,respiratory-therapist-per-diem-prn-antonito-co,52.67,rt
Any City,respiratory-therapist-per-diem-prn-any-city-or,49.71,rt
Apache Junction AZ,respiratory-therapist-per-diem-prn-apache-junction-az,46.94,rt
Apalachicola,respiratory-therapist-per-diem-prn-apalachicola-fl,55.73,rt
Apex,respiratory-therapist-per-diem-prn-apex-nc,54.92,rt
Apollo Beach,respiratory-therapist-per-diem-prn-apollo-beach-fl,47.99,rt
Apopka,respiratory-therapist-per-diem-prn-apopka-fl,47.08,rt
Apple Valley,respiratory-therapist-per-diem-prn-apple-valley-mn,49.98,rt
Appleton,respiratory-therapist-per-diem-prn-appleton-wi,49.26,rt
Aransas Pass,respiratory-therapist-per-diem-prn-aransas-pass-tx,48.54,rt
Arcadia,respiratory-therapist-per-diem-prn-arcadia-fl,49.71,rt
Arcata,respiratory-therapist-per-diem-prn-arcata-ca,48.74,rt
Archer,respiratory-therapist-per-diem-prn-archer-fl,48.74,rt
Archer City,respiratory-therapist-per-diem-prn-archer-city-tx,48.74,rt
Arco,respiratory-therapist-per-diem-prn-arco-id,48.46,rt
Ardmore,respiratory-therapist-per-diem-prn-ardmore-ok,49.57,rt
Arivaca,respiratory-therapist-per-diem-prn-arivaca-az,48.54,rt
Arizona City,respiratory-therapist-per-diem-prn-arizona-city-az,47.08,rt
Arlington,respiratory-therapist-per-diem-prn-arlington-ma,54.89,rt
Arlington,respiratory-therapist-per-diem-prn-arlington-tx,51.78,rt
Arlington Heights,respiratory-therapist-per-diem-prn-arlington-heights-il,48.11,rt
Arlington VA,respiratory-therapist-per-diem-prn-arlington-va,48.21,rt
